,index,Dataset Name,Number of samples,Original Number of features,Filtering Algorithm,Learning algorithm,Number of features selected (K),CV Method,Fold,Measure Type,Measure Value
0,0,cll,22,12625,f_classif_wrapper,GaussianNB(),1,Leave-pair-out,2,MCC,0.5249691891145123
1,1,cll,22,12625,RFE_wrapper,GaussianNB(),1,Leave-pair-out,2,MCC,0.3273268353539886
2,2,cll,22,12625,relieff_wrapper,GaussianNB(),1,Leave-pair-out,2,MCC,0.5249691891145123
3,3,cll,22,12625,relaxed_lasso_wrapper,GaussianNB(),1,Leave-pair-out,2,MCC,0.5224139500835774
4,4,cll,22,12625,f_classif_wrapper,GaussianNB(),2,Leave-pair-out,2,MCC,0.27217795301051667
5,5,cll,22,12625,RFE_wrapper,GaussianNB(),2,Leave-pair-out,2,MCC,0.3273268353539886
6,6,cll,22,12625,relieff_wrapper,GaussianNB(),2,Leave-pair-out,2,MCC,0.6976423537605236
7,7,cll,22,12625,relaxed_lasso_wrapper,GaussianNB(),2,Leave-pair-out,2,MCC,0.2242715530836054
8,8,cll,22,12625,f_classif_wrapper,GaussianNB(),3,Leave-pair-out,2,MCC,0.27217795301051667
9,9,cll,22,12625,RFE_wrapper,GaussianNB(),3,Leave-pair-out,2,MCC,0.5249691891145123
10,10,cll,22,12625,relieff_wrapper,GaussianNB(),3,Leave-pair-out,2,MCC,0.4212491515105027
11,11,cll,22,12625,relaxed_lasso_wrapper,GaussianNB(),3,Leave-pair-out,2,MCC,0.4654738190002651
12,12,cll,22,12625,f_classif_wrapper,GaussianNB(),4,Leave-pair-out,2,MCC,0.2988071523335984
13,13,cll,22,12625,RFE_wrapper,GaussianNB(),4,Leave-pair-out,2,MCC,0.1965473819000265
14,14,cll,22,12625,relieff_wrapper,GaussianNB(),4,Leave-pair-out,2,MCC,0.2242715530836054
15,15,cll,22,12625,relaxed_lasso_wrapper,GaussianNB(),4,Leave-pair-out,2,MCC,0.4654738190002651
16,16,cll,22,12625,f_classif_wrapper,GaussianNB(),5,Leave-pair-out,2,MCC,0.07453559924999299
17,17,cll,22,12625,RFE_wrapper,GaussianNB(),5,Leave-pair-out,2,MCC,-0.19372608251661913
18,18,cll,22,12625,relieff_wrapper,GaussianNB(),5,Leave-pair-out,2,MCC,0.2988071523335984
19,19,cll,22,12625,relaxed_lasso_wrapper,GaussianNB(),5,Leave-pair-out,2,MCC,0.4212491515105027
20,20,cll,22,12625,f_classif_wrapper,GaussianNB(),10,Leave-pair-out,2,MCC,0.07453559924999299
21,21,cll,22,12625,RFE_wrapper,GaussianNB(),10,Leave-pair-out,2,MCC,-0.38172068075839793
22,22,cll,22,12625,relieff_wrapper,GaussianNB(),10,Leave-pair-out,2,MCC,0.07453559924999299
