,index,Dataset Name,Number of samples,Original Number of features,Filtering Algorithm,Learning algorithm,Number of features selected (K),CV Method,Fold,Measure Type,Measure Value
0,0,cll,22,12625,f_classif_wrapper,GaussianNB(),1,Leave-pair-out,2,AUC,0.6166666666666667
1,1,cll,22,12625,RFE_wrapper,GaussianNB(),1,Leave-pair-out,2,AUC,0.325
2,2,cll,22,12625,relieff_wrapper,GaussianNB(),1,Leave-pair-out,2,AUC,0.6166666666666667
3,3,cll,22,12625,relaxed_lasso_wrapper,GaussianNB(),1,Leave-pair-out,2,AUC,0.6833333333333333
4,4,cll,22,12625,f_classif_wrapper,GaussianNB(),2,Leave-pair-out,2,AUC,0.6333333333333334
5,5,cll,22,12625,RFE_wrapper,GaussianNB(),2,Leave-pair-out,2,AUC,0.55
6,6,cll,22,12625,relieff_wrapper,GaussianNB(),2,Leave-pair-out,2,AUC,0.8
7,7,cll,22,12625,relaxed_lasso_wrapper,GaussianNB(),2,Leave-pair-out,2,AUC,0.6416666666666667
8,8,cll,22,12625,f_classif_wrapper,GaussianNB(),3,Leave-pair-out,2,AUC,0.6583333333333333
9,9,cll,22,12625,RFE_wrapper,GaussianNB(),3,Leave-pair-out,2,AUC,0.5916666666666666
10,10,cll,22,12625,relieff_wrapper,GaussianNB(),3,Leave-pair-out,2,AUC,0.7
11,11,cll,22,12625,relaxed_lasso_wrapper,GaussianNB(),3,Leave-pair-out,2,AUC,0.6833333333333333
12,12,cll,22,12625,f_classif_wrapper,GaussianNB(),4,Leave-pair-out,2,AUC,0.6583333333333333
13,13,cll,22,12625,RFE_wrapper,GaussianNB(),4,Leave-pair-out,2,AUC,0.5916666666666666
14,14,cll,22,12625,relieff_wrapper,GaussianNB(),4,Leave-pair-out,2,AUC,0.6166666666666667
15,15,cll,22,12625,relaxed_lasso_wrapper,GaussianNB(),4,Leave-pair-out,2,AUC,0.7083333333333334
16,16,cll,22,12625,f_classif_wrapper,GaussianNB(),5,Leave-pair-out,2,AUC,0.625
17,17,cll,22,12625,RFE_wrapper,GaussianNB(),5,Leave-pair-out,2,AUC,0.425
18,18,cll,22,12625,relieff_wrapper,GaussianNB(),5,Leave-pair-out,2,AUC,0.6583333333333333
19,19,cll,22,12625,relaxed_lasso_wrapper,GaussianNB(),5,Leave-pair-out,2,AUC,0.6666666666666667
20,20,cll,22,12625,f_classif_wrapper,GaussianNB(),10,Leave-pair-out,2,AUC,0.5208333333333334
21,21,cll,22,12625,RFE_wrapper,GaussianNB(),10,Leave-pair-out,2,AUC,0.42500000000000004
22,22,cll,22,12625,relieff_wrapper,GaussianNB(),10,Leave-pair-out,2,AUC,0.5208333333333334
23,23,cll,22,12625,relaxed_lasso_wrapper,GaussianNB(),10,Leave-pair-out,2,AUC,0.7583333333333334
24,24,cll,22,12625,f_classif_wrapper,GaussianNB(),20,Leave-pair-out,2,AUC,0.5625
25,25,cll,22,12625,RFE_wrapper,GaussianNB(),20,Leave-pair-out,2,AUC,0.375
26,26,cll,22,12625,relieff_wrapper,GaussianNB(),20,Leave-pair-out,2,AUC,0.5625
27,27,cll,22,12625,relaxed_lasso_wrapper,GaussianNB(),20,Leave-pair-out,2,AUC,0.7125
28,28,cll,22,12625,f_classif_wrapper,GaussianNB(),50,Leave-pair-out,2,AUC,0.4583333333333333
29,29,cll,22,12625,RFE_wrapper,GaussianNB(),50,Leave-pair-out,2,AUC,0.375
30,30,cll,22,12625,relieff_wrapper,GaussianNB(),50,Leave-pair-out,2,AUC,0.5
31,31,cll,22,12625,relaxed_lasso_wrapper,GaussianNB(),50,Leave-pair-out,2,AUC,0.5833333333333334
32,32,cll,22,12625,f_classif_wrapper,GaussianNB(),100,Leave-pair-out,2,AUC,0.5625
33,33,cll,22,12625,RFE_wrapper,GaussianNB(),100,Leave-pair-out,2,AUC,0.5708333333333333
34,34,cll,22,12625,relieff_wrapper,GaussianNB(),100,Leave-pair-out,2,AUC,0.6666666666666667
35,35,cll,22,12625,relaxed_lasso_wrapper,GaussianNB(),100,Leave-pair-out,2,AUC,0.45833333333333337
36,36,cll,22,12625,f_classif_wrapper,SVC(),1,Leave-pair-out,2,AUC,0.5416666666666666
37,37,cll,22,12625,RFE_wrapper,SVC(),1,Leave-pair-out,2,AUC,0.5
38,38,cll,22,12625,relieff_wrapper,SVC(),1,Leave-pair-out,2,AUC,0.5416666666666666
39,39,cll,22,12625,relaxed_lasso_wrapper,SVC(),1,Leave-pair-out,2,AUC,0.6416666666666666
40,40,cll,22,12625,f_classif_wrapper,SVC(),2,Leave-pair-out,2,AUC,0.6083333333333334
41,41,cll,22,12625,RFE_wrapper,SVC(),2,Leave-pair-out,2,AUC,0.5
42,42,cll,22,12625,relieff_wrapper,SVC(),2,Leave-pair-out,2,AUC,0.65
43,43,cll,22,12625,relaxed_lasso_wrapper,SVC(),2,Leave-pair-out,2,AUC,0.7250000000000001
44,44,cll,22,12625,f_classif_wrapper,SVC(),3,Leave-pair-out,2,AUC,0.6333333333333334
45,45,cll,22,12625,RFE_wrapper,SVC(),3,Leave-pair-out,2,AUC,0.5
46,46,cll,22,12625,relieff_wrapper,SVC(),3,Leave-pair-out,2,AUC,0.6333333333333334
47,47,cll,22,12625,relaxed_lasso_wrapper,SVC(),3,Leave-pair-out,2,AUC,0.4666666666666666
48,48,cll,22,12625,f_classif_wrapper,SVC(),4,Leave-pair-out,2,AUC,0.6166666666666667
49,49,cll,22,12625,RFE_wrapper,SVC(),4,Leave-pair-out,2,AUC,0.5
50,50,cll,22,12625,relieff_wrapper,SVC(),4,Leave-pair-out,2,AUC,0.575
51,51,cll,22,12625,relaxed_lasso_wrapper,SVC(),4,Leave-pair-out,2,AUC,0.6833333333333333
52,52,cll,22,12625,f_classif_wrapper,SVC(),5,Leave-pair-out,2,AUC,0.6166666666666667
53,53,cll,22,12625,RFE_wrapper,SVC(),5,Leave-pair-out,2,AUC,0.5
54,54,cll,22,12625,relieff_wrapper,SVC(),5,Leave-pair-out,2,AUC,0.575
55,55,cll,22,12625,relaxed_lasso_wrapper,SVC(),5,Leave-pair-out,2,AUC,0.6583333333333333
56,56,cll,22,12625,f_classif_wrapper,SVC(),10,Leave-pair-out,2,AUC,0.575
57,57,cll,22,12625,RFE_wrapper,SVC(),10,Leave-pair-out,2,AUC,0.5
58,58,cll,22,12625,relieff_wrapper,SVC(),10,Leave-pair-out,2,AUC,0.575
59,59,cll,22,12625,relaxed_lasso_wrapper,SVC(),10,Leave-pair-out,2,AUC,0.6166666666666666
60,60,cll,22,12625,f_classif_wrapper,SVC(),20,Leave-pair-out,2,AUC,0.6166666666666666
61,61,cll,22,12625,RFE_wrapper,SVC(),20,Leave-pair-out,2,AUC,0.5
62,62,cll,22,12625,relieff_wrapper,SVC(),20,Leave-pair-out,2,AUC,0.6166666666666666
63,63,cll,22,12625,relaxed_lasso_wrapper,SVC(),20,Leave-pair-out,2,AUC,0.55
64,64,cll,22,12625,f_classif_wrapper,SVC(),50,Leave-pair-out,2,AUC,0.6166666666666666
65,65,cll,22,12625,RFE_wrapper,SVC(),50,Leave-pair-out,2,AUC,0.5
66,66,cll,22,12625,relieff_wrapper,SVC(),50,Leave-pair-out,2,AUC,0.6583333333333333
67,67,cll,22,12625,relaxed_lasso_wrapper,SVC(),50,Leave-pair-out,2,AUC,0.6333333333333334
68,68,cll,22,12625,f_classif_wrapper,SVC(),100,Leave-pair-out,2,AUC,0.3583333333333334
69,69,cll,22,12625,RFE_wrapper,SVC(),100,Leave-pair-out,2,AUC,0.575
70,70,cll,22,12625,relieff_wrapper,SVC(),100,Leave-pair-out,2,AUC,0.4666666666666666
71,71,cll,22,12625,relaxed_lasso_wrapper,SVC(),100,Leave-pair-out,2,AUC,0.6083333333333334
72,72,cll,22,12625,f_classif_wrapper,RandomForestClassifier(),1,Leave-pair-out,2,AUC,0.6083333333333334
73,73,cll,22,12625,RFE_wrapper,RandomForestClassifier(),1,Leave-pair-out,2,AUC,0.5
74,74,cll,22,12625,relieff_wrapper,RandomForestClassifier(),1,Leave-pair-out,2,AUC,0.6083333333333334
75,75,cll,22,12625,relaxed_lasso_wrapper,RandomForestClassifier(),1,Leave-pair-out,2,AUC,0.6833333333333333
76,76,cll,22,12625,f_classif_wrapper,RandomForestClassifier(),2,Leave-pair-out,2,AUC,0.675
77,77,cll,22,12625,RFE_wrapper,RandomForestClassifier(),2,Leave-pair-out,2,AUC,0.5
78,78,cll,22,12625,relieff_wrapper,RandomForestClassifier(),2,Leave-pair-out,2,AUC,0.7583333333333334
79,79,cll,22,12625,relaxed_lasso_wrapper,RandomForestClassifier(),2,Leave-pair-out,2,AUC,0.625
80,80,cll,22,12625,f_classif_wrapper,RandomForestClassifier(),3,Leave-pair-out,2,AUC,0.6958333333333333
81,81,cll,22,12625,RFE_wrapper,RandomForestClassifier(),3,Leave-pair-out,2,AUC,0.5
82,82,cll,22,12625,relieff_wrapper,RandomForestClassifier(),3,Leave-pair-out,2,AUC,0.7583333333333334
83,83,cll,22,12625,relaxed_lasso_wrapper,RandomForestClassifier(),3,Leave-pair-out,2,AUC,0.7916666666666667
84,84,cll,22,12625,f_classif_wrapper,RandomForestClassifier(),4,Leave-pair-out,2,AUC,0.55
85,85,cll,22,12625,RFE_wrapper,RandomForestClassifier(),4,Leave-pair-out,2,AUC,0.5
86,86,cll,22,12625,relieff_wrapper,RandomForestClassifier(),4,Leave-pair-out,2,AUC,0.625
87,87,cll,22,12625,relaxed_lasso_wrapper,RandomForestClassifier(),4,Leave-pair-out,2,AUC,0.55
88,88,cll,22,12625,f_classif_wrapper,RandomForestClassifier(),5,Leave-pair-out,2,AUC,0.6041666666666667
89,89,cll,22,12625,RFE_wrapper,RandomForestClassifier(),5,Leave-pair-out,2,AUC,0.5
90,90,cll,22,12625,relieff_wrapper,RandomForestClassifier(),5,Leave-pair-out,2,AUC,0.6625
91,91,cll,22,12625,relaxed_lasso_wrapper,RandomForestClassifier(),5,Leave-pair-out,2,AUC,0.7166666666666668
92,92,cll,22,12625,f_classif_wrapper,RandomForestClassifier(),10,Leave-pair-out,2,AUC,0.55
93,93,cll,22,12625,RFE_wrapper,RandomForestClassifier(),10,Leave-pair-out,2,AUC,0.5
94,94,cll,22,12625,relieff_wrapper,RandomForestClassifier(),10,Leave-pair-out,2,AUC,0.5416666666666667
95,95,cll,22,12625,relaxed_lasso_wrapper,RandomForestClassifier(),10,Leave-pair-out,2,AUC,0.7083333333333334
96,96,cll,22,12625,f_classif_wrapper,RandomForestClassifier(),20,Leave-pair-out,2,AUC,0.6833333333333333
97,97,cll,22,12625,RFE_wrapper,RandomForestClassifier(),20,Leave-pair-out,2,AUC,0.5
98,98,cll,22,12625,relieff_wrapper,RandomForestClassifier(),20,Leave-pair-out,2,AUC,0.55
99,99,cll,22,12625,relaxed_lasso_wrapper,RandomForestClassifier(),20,Leave-pair-out,2,AUC,0.6083333333333334
100,100,cll,22,12625,f_classif_wrapper,RandomForestClassifier(),50,Leave-pair-out,2,AUC,0.6833333333333333
101,101,cll,22,12625,RFE_wrapper,RandomForestClassifier(),50,Leave-pair-out,2,AUC,0.5
102,102,cll,22,12625,relieff_wrapper,RandomForestClassifier(),50,Leave-pair-out,2,AUC,0.6416666666666666
103,103,cll,22,12625,relaxed_lasso_wrapper,RandomForestClassifier(),50,Leave-pair-out,2,AUC,0.675
104,104,cll,22,12625,f_classif_wrapper,RandomForestClassifier(),100,Leave-pair-out,2,AUC,0.6666666666666666
105,105,cll,22,12625,RFE_wrapper,RandomForestClassifier(),100,Leave-pair-out,2,AUC,0.65
106,106,cll,22,12625,relieff_wrapper,RandomForestClassifier(),100,Leave-pair-out,2,AUC,0.6958333333333333
107,107,cll,22,12625,relaxed_lasso_wrapper,RandomForestClassifier(),100,Leave-pair-out,2,AUC,0.65
108,108,cll,22,12625,f_classif_wrapper,LogisticRegression(),1,Leave-pair-out,2,AUC,0.5416666666666666
109,109,cll,22,12625,RFE_wrapper,LogisticRegression(),1,Leave-pair-out,2,AUC,0.5
110,110,cll,22,12625,relieff_wrapper,LogisticRegression(),1,Leave-pair-out,2,AUC,0.5416666666666666
111,111,cll,22,12625,relaxed_lasso_wrapper,LogisticRegression(),1,Leave-pair-out,2,AUC,0.5583333333333333
112,112,cll,22,12625,f_classif_wrapper,LogisticRegression(),2,Leave-pair-out,2,AUC,0.5833333333333334
113,113,cll,22,12625,RFE_wrapper,LogisticRegression(),2,Leave-pair-out,2,AUC,0.5
114,114,cll,22,12625,relieff_wrapper,LogisticRegression(),2,Leave-pair-out,2,AUC,0.625
115,115,cll,22,12625,relaxed_lasso_wrapper,LogisticRegression(),2,Leave-pair-out,2,AUC,0.47500000000000003
116,116,cll,22,12625,f_classif_wrapper,LogisticRegression(),3,Leave-pair-out,2,AUC,0.6083333333333334
117,117,cll,22,12625,RFE_wrapper,LogisticRegression(),3,Leave-pair-out,2,AUC,0.5
118,118,cll,22,12625,relieff_wrapper,LogisticRegression(),3,Leave-pair-out,2,AUC,0.6083333333333334
