,index,Dataset Name,Number of samples,Original Number of features,Filtering Algorithm,Learning algorithm,Number of features selected (K),CV Method,Fold,Measure Type,Measure Value
0,0,cll,22,12625,f_classif_wrapper,GaussianNB(),1,Leave-pair-out,2,PR-AUC,0.7708333333333333
1,1,cll,22,12625,RFE_wrapper,GaussianNB(),1,Leave-pair-out,2,PR-AUC,0.7152777777777778
2,2,cll,22,12625,relieff_wrapper,GaussianNB(),1,Leave-pair-out,2,PR-AUC,0.7708333333333333
3,3,cll,22,12625,relaxed_lasso_wrapper,GaussianNB(),1,Leave-pair-out,2,PR-AUC,0.7013888888888888
4,4,cll,22,12625,f_classif_wrapper,GaussianNB(),2,Leave-pair-out,2,PR-AUC,0.6458333333333333
5,5,cll,22,12625,RFE_wrapper,GaussianNB(),2,Leave-pair-out,2,PR-AUC,0.7152777777777778
6,6,cll,22,12625,relieff_wrapper,GaussianNB(),2,Leave-pair-out,2,PR-AUC,0.8333333333333333
7,7,cll,22,12625,relaxed_lasso_wrapper,GaussianNB(),2,Leave-pair-out,2,PR-AUC,0.5763888888888888
8,8,cll,22,12625,f_classif_wrapper,GaussianNB(),3,Leave-pair-out,2,PR-AUC,0.6458333333333333
9,9,cll,22,12625,RFE_wrapper,GaussianNB(),3,Leave-pair-out,2,PR-AUC,0.7708333333333333
10,10,cll,22,12625,relieff_wrapper,GaussianNB(),3,Leave-pair-out,2,PR-AUC,0.6458333333333333
11,11,cll,22,12625,relaxed_lasso_wrapper,GaussianNB(),3,Leave-pair-out,2,PR-AUC,0.6388888888888888
12,12,cll,22,12625,f_classif_wrapper,GaussianNB(),4,Leave-pair-out,2,PR-AUC,0.6388888888888888
13,13,cll,22,12625,RFE_wrapper,GaussianNB(),4,Leave-pair-out,2,PR-AUC,0.6527777777777778
14,14,cll,22,12625,relieff_wrapper,GaussianNB(),4,Leave-pair-out,2,PR-AUC,0.5763888888888888
15,15,cll,22,12625,relaxed_lasso_wrapper,GaussianNB(),4,Leave-pair-out,2,PR-AUC,0.6388888888888888
16,16,cll,22,12625,f_classif_wrapper,GaussianNB(),5,Leave-pair-out,2,PR-AUC,0.5902777777777778
17,17,cll,22,12625,RFE_wrapper,GaussianNB(),5,Leave-pair-out,2,PR-AUC,0.4652777777777778
18,18,cll,22,12625,relieff_wrapper,GaussianNB(),5,Leave-pair-out,2,PR-AUC,0.6388888888888888
19,19,cll,22,12625,relaxed_lasso_wrapper,GaussianNB(),5,Leave-pair-out,2,PR-AUC,0.6458333333333333
20,20,cll,22,12625,f_classif_wrapper,GaussianNB(),10,Leave-pair-out,2,PR-AUC,0.5902777777777778
21,21,cll,22,12625,RFE_wrapper,GaussianNB(),10,Leave-pair-out,2,PR-AUC,0.4097222222222222
22,22,cll,22,12625,relieff_wrapper,GaussianNB(),10,Leave-pair-out,2,PR-AUC,0.5902777777777778
23,23,cll,22,12625,relaxed_lasso_wrapper,GaussianNB(),10,Leave-pair-out,2,PR-AUC,0.5208333333333333
24,24,cll,22,12625,f_classif_wrapper,GaussianNB(),20,Leave-pair-out,2,PR-AUC,0.6527777777777778
25,25,cll,22,12625,RFE_wrapper,GaussianNB(),20,Leave-pair-out,2,PR-AUC,0.4652777777777778
26,26,cll,22,12625,relieff_wrapper,GaussianNB(),20,Leave-pair-out,2,PR-AUC,0.6527777777777778
27,27,cll,22,12625,relaxed_lasso_wrapper,GaussianNB(),20,Leave-pair-out,2,PR-AUC,0.4652777777777778
28,28,cll,22,12625,f_classif_wrapper,GaussianNB(),50,Leave-pair-out,2,PR-AUC,0.5277777777777778
29,29,cll,22,12625,RFE_wrapper,GaussianNB(),50,Leave-pair-out,2,PR-AUC,0.4652777777777778
30,30,cll,22,12625,relieff_wrapper,GaussianNB(),50,Leave-pair-out,2,PR-AUC,0.5902777777777778
31,31,cll,22,12625,relaxed_lasso_wrapper,GaussianNB(),50,Leave-pair-out,2,PR-AUC,0.5902777777777778
32,32,cll,22,12625,f_classif_wrapper,GaussianNB(),100,Leave-pair-out,2,PR-AUC,0.5902777777777778
33,33,cll,22,12625,RFE_wrapper,GaussianNB(),100,Leave-pair-out,2,PR-AUC,0.6527777777777778
34,34,cll,22,12625,relieff_wrapper,GaussianNB(),100,Leave-pair-out,2,PR-AUC,0.7013888888888888
35,35,cll,22,12625,relaxed_lasso_wrapper,GaussianNB(),100,Leave-pair-out,2,PR-AUC,0.5902777777777778
36,36,cll,22,12625,f_classif_wrapper,SVC(),1,Leave-pair-out,2,PR-AUC,0.7152777777777778
37,37,cll,22,12625,RFE_wrapper,SVC(),1,Leave-pair-out,2,PR-AUC,0.6527777777777778
38,38,cll,22,12625,relieff_wrapper,SVC(),1,Leave-pair-out,2,PR-AUC,0.7152777777777778
39,39,cll,22,12625,relaxed_lasso_wrapper,SVC(),1,Leave-pair-out,2,PR-AUC,0.6527777777777778
40,40,cll,22,12625,f_classif_wrapper,SVC(),2,Leave-pair-out,2,PR-AUC,0.7083333333333333
41,41,cll,22,12625,RFE_wrapper,SVC(),2,Leave-pair-out,2,PR-AUC,0.6527777777777778
42,42,cll,22,12625,relieff_wrapper,SVC(),2,Leave-pair-out,2,PR-AUC,0.7708333333333333
43,43,cll,22,12625,relaxed_lasso_wrapper,SVC(),2,Leave-pair-out,2,PR-AUC,0.6527777777777778
44,44,cll,22,12625,f_classif_wrapper,SVC(),3,Leave-pair-out,2,PR-AUC,0.5902777777777778
45,45,cll,22,12625,RFE_wrapper,SVC(),3,Leave-pair-out,2,PR-AUC,0.6527777777777778
46,46,cll,22,12625,relieff_wrapper,SVC(),3,Leave-pair-out,2,PR-AUC,0.6527777777777778
47,47,cll,22,12625,relaxed_lasso_wrapper,SVC(),3,Leave-pair-out,2,PR-AUC,0.6527777777777778
48,48,cll,22,12625,f_classif_wrapper,SVC(),4,Leave-pair-out,2,PR-AUC,0.5277777777777778
49,49,cll,22,12625,RFE_wrapper,SVC(),4,Leave-pair-out,2,PR-AUC,0.6527777777777778
50,50,cll,22,12625,relieff_wrapper,SVC(),4,Leave-pair-out,2,PR-AUC,0.5208333333333333
51,51,cll,22,12625,relaxed_lasso_wrapper,SVC(),4,Leave-pair-out,2,PR-AUC,0.7638888888888888
52,52,cll,22,12625,f_classif_wrapper,SVC(),5,Leave-pair-out,2,PR-AUC,0.6458333333333333
53,53,cll,22,12625,RFE_wrapper,SVC(),5,Leave-pair-out,2,PR-AUC,0.6527777777777778
54,54,cll,22,12625,relieff_wrapper,SVC(),5,Leave-pair-out,2,PR-AUC,0.5833333333333333
55,55,cll,22,12625,relaxed_lasso_wrapper,SVC(),5,Leave-pair-out,2,PR-AUC,0.7013888888888888
56,56,cll,22,12625,f_classif_wrapper,SVC(),10,Leave-pair-out,2,PR-AUC,0.5833333333333333
57,57,cll,22,12625,RFE_wrapper,SVC(),10,Leave-pair-out,2,PR-AUC,0.6527777777777778
58,58,cll,22,12625,relieff_wrapper,SVC(),10,Leave-pair-out,2,PR-AUC,0.6388888888888888
59,59,cll,22,12625,relaxed_lasso_wrapper,SVC(),10,Leave-pair-out,2,PR-AUC,0.4652777777777778
60,60,cll,22,12625,f_classif_wrapper,SVC(),20,Leave-pair-out,2,PR-AUC,0.5208333333333333
61,61,cll,22,12625,RFE_wrapper,SVC(),20,Leave-pair-out,2,PR-AUC,0.6527777777777778
62,62,cll,22,12625,relieff_wrapper,SVC(),20,Leave-pair-out,2,PR-AUC,0.5208333333333333
63,63,cll,22,12625,relaxed_lasso_wrapper,SVC(),20,Leave-pair-out,2,PR-AUC,0.5277777777777778
64,64,cll,22,12625,f_classif_wrapper,SVC(),50,Leave-pair-out,2,PR-AUC,0.5833333333333333
65,65,cll,22,12625,RFE_wrapper,SVC(),50,Leave-pair-out,2,PR-AUC,0.6527777777777778
66,66,cll,22,12625,relieff_wrapper,SVC(),50,Leave-pair-out,2,PR-AUC,0.6388888888888888
67,67,cll,22,12625,relaxed_lasso_wrapper,SVC(),50,Leave-pair-out,2,PR-AUC,0.5833333333333333
68,68,cll,22,12625,f_classif_wrapper,SVC(),100,Leave-pair-out,2,PR-AUC,0.5208333333333333
69,69,cll,22,12625,RFE_wrapper,SVC(),100,Leave-pair-out,2,PR-AUC,0.6527777777777778
70,70,cll,22,12625,relieff_wrapper,SVC(),100,Leave-pair-out,2,PR-AUC,0.5277777777777778
71,71,cll,22,12625,relaxed_lasso_wrapper,SVC(),100,Leave-pair-out,2,PR-AUC,0.5833333333333333
72,72,cll,22,12625,f_classif_wrapper,RandomForestClassifier(),1,Leave-pair-out,2,PR-AUC,0.6527777777777778
73,73,cll,22,12625,RFE_wrapper,RandomForestClassifier(),1,Leave-pair-out,2,PR-AUC,0.6527777777777778
74,74,cll,22,12625,relieff_wrapper,RandomForestClassifier(),1,Leave-pair-out,2,PR-AUC,0.6527777777777778
75,75,cll,22,12625,relaxed_lasso_wrapper,RandomForestClassifier(),1,Leave-pair-out,2,PR-AUC,0.6388888888888888
76,76,cll,22,12625,f_classif_wrapper,RandomForestClassifier(),2,Leave-pair-out,2,PR-AUC,0.6527777777777778
77,77,cll,22,12625,RFE_wrapper,RandomForestClassifier(),2,Leave-pair-out,2,PR-AUC,0.6527777777777778
78,78,cll,22,12625,relieff_wrapper,RandomForestClassifier(),2,Leave-pair-out,2,PR-AUC,0.7152777777777778
79,79,cll,22,12625,relaxed_lasso_wrapper,RandomForestClassifier(),2,Leave-pair-out,2,PR-AUC,0.7638888888888888
80,80,cll,22,12625,f_classif_wrapper,RandomForestClassifier(),3,Leave-pair-out,2,PR-AUC,0.5902777777777778
81,81,cll,22,12625,RFE_wrapper,RandomForestClassifier(),3,Leave-pair-out,2,PR-AUC,0.6527777777777778
82,82,cll,22,12625,relieff_wrapper,RandomForestClassifier(),3,Leave-pair-out,2,PR-AUC,0.5902777777777778
83,83,cll,22,12625,relaxed_lasso_wrapper,RandomForestClassifier(),3,Leave-pair-out,2,PR-AUC,0.7638888888888888
84,84,cll,22,12625,f_classif_wrapper,RandomForestClassifier(),4,Leave-pair-out,2,PR-AUC,0.7083333333333333
85,85,cll,22,12625,RFE_wrapper,RandomForestClassifier(),4,Leave-pair-out,2,PR-AUC,0.6527777777777778
86,86,cll,22,12625,relieff_wrapper,RandomForestClassifier(),4,Leave-pair-out,2,PR-AUC,0.5833333333333333
87,87,cll,22,12625,relaxed_lasso_wrapper,RandomForestClassifier(),4,Leave-pair-out,2,PR-AUC,0.7013888888888888
88,88,cll,22,12625,f_classif_wrapper,RandomForestClassifier(),5,Leave-pair-out,2,PR-AUC,0.7083333333333333
89,89,cll,22,12625,RFE_wrapper,RandomForestClassifier(),5,Leave-pair-out,2,PR-AUC,0.6527777777777778
90,90,cll,22,12625,relieff_wrapper,RandomForestClassifier(),5,Leave-pair-out,2,PR-AUC,0.5833333333333333
91,91,cll,22,12625,relaxed_lasso_wrapper,RandomForestClassifier(),5,Leave-pair-out,2,PR-AUC,0.7638888888888888
92,92,cll,22,12625,f_classif_wrapper,RandomForestClassifier(),10,Leave-pair-out,2,PR-AUC,0.5833333333333333
93,93,cll,22,12625,RFE_wrapper,RandomForestClassifier(),10,Leave-pair-out,2,PR-AUC,0.6527777777777778
94,94,cll,22,12625,relieff_wrapper,RandomForestClassifier(),10,Leave-pair-out,2,PR-AUC,0.5833333333333333
95,95,cll,22,12625,relaxed_lasso_wrapper,RandomForestClassifier(),10,Leave-pair-out,2,PR-AUC,0.5833333333333333
96,96,cll,22,12625,f_classif_wrapper,RandomForestClassifier(),20,Leave-pair-out,2,PR-AUC,0.6388888888888888
97,97,cll,22,12625,RFE_wrapper,RandomForestClassifier(),20,Leave-pair-out,2,PR-AUC,0.6527777777777778
98,98,cll,22,12625,relieff_wrapper,RandomForestClassifier(),20,Leave-pair-out,2,PR-AUC,0.5833333333333333
99,99,cll,22,12625,relaxed_lasso_wrapper,RandomForestClassifier(),20,Leave-pair-out,2,PR-AUC,0.6388888888888888
100,100,cll,22,12625,f_classif_wrapper,RandomForestClassifier(),50,Leave-pair-out,2,PR-AUC,0.6388888888888888
101,101,cll,22,12625,RFE_wrapper,RandomForestClassifier(),50,Leave-pair-out,2,PR-AUC,0.6527777777777778
102,102,cll,22,12625,relieff_wrapper,RandomForestClassifier(),50,Leave-pair-out,2,PR-AUC,0.5833333333333333
103,103,cll,22,12625,relaxed_lasso_wrapper,RandomForestClassifier(),50,Leave-pair-out,2,PR-AUC,0.6388888888888888
104,104,cll,22,12625,f_classif_wrapper,RandomForestClassifier(),100,Leave-pair-out,2,PR-AUC,0.5833333333333333
105,105,cll,22,12625,RFE_wrapper,RandomForestClassifier(),100,Leave-pair-out,2,PR-AUC,0.5277777777777778
106,106,cll,22,12625,relieff_wrapper,RandomForestClassifier(),100,Leave-pair-out,2,PR-AUC,0.5833333333333333
107,107,cll,22,12625,relaxed_lasso_wrapper,RandomForestClassifier(),100,Leave-pair-out,2,PR-AUC,0.5277777777777778
108,108,cll,22,12625,f_classif_wrapper,LogisticRegression(),1,Leave-pair-out,2,PR-AUC,0.6527777777777778
109,109,cll,22,12625,RFE_wrapper,LogisticRegression(),1,Leave-pair-out,2,PR-AUC,0.6527777777777778
110,110,cll,22,12625,relieff_wrapper,LogisticRegression(),1,Leave-pair-out,2,PR-AUC,0.6527777777777778
111,111,cll,22,12625,relaxed_lasso_wrapper,LogisticRegression(),1,Leave-pair-out,2,PR-AUC,0.6527777777777778
112,112,cll,22,12625,f_classif_wrapper,LogisticRegression(),2,Leave-pair-out,2,PR-AUC,0.5902777777777778
113,113,cll,22,12625,RFE_wrapper,LogisticRegression(),2,Leave-pair-out,2,PR-AUC,0.6527777777777778
114,114,cll,22,12625,relieff_wrapper,LogisticRegression(),2,Leave-pair-out,2,PR-AUC,0.7152777777777778
115,115,cll,22,12625,relaxed_lasso_wrapper,LogisticRegression(),2,Leave-pair-out,2,PR-AUC,0.6527777777777778
116,116,cll,22,12625,f_classif_wrapper,LogisticRegression(),3,Leave-pair-out,2,PR-AUC,0.5902777777777778
117,117,cll,22,12625,RFE_wrapper,LogisticRegression(),3,Leave-pair-out,2,PR-AUC,0.6527777777777778
118,118,cll,22,12625,relieff_wrapper,LogisticRegression(),3,Leave-pair-out,2,PR-AUC,0.5902777777777778
119,119,cll,22,12625,relaxed_lasso_wrapper,LogisticRegression(),3,Leave-pair-out,2,PR-AUC,0.6527777777777778
120,120,cll,22,12625,f_classif_wrapper,LogisticRegression(),4,Leave-pair-out,2,PR-AUC,0.6388888888888888
121,121,cll,22,12625,RFE_wrapper,LogisticRegression(),4,Leave-pair-out,2,PR-AUC,0.6527777777777778
122,122,cll,22,12625,relieff_wrapper,LogisticRegression(),4,Leave-pair-out,2,PR-AUC,0.5763888888888888
123,123,cll,22,12625,relaxed_lasso_wrapper,LogisticRegression(),4,Leave-pair-out,2,PR-AUC,0.6527777777777778
124,124,cll,22,12625,f_classif_wrapper,LogisticRegression(),5,Leave-pair-out,2,PR-AUC,0.5902777777777778
125,125,cll,22,12625,RFE_wrapper,LogisticRegression(),5,Leave-pair-out,2,PR-AUC,0.6527777777777778
126,126,cll,22,12625,relieff_wrapper,LogisticRegression(),5,Leave-pair-out,2,PR-AUC,0.6388888888888888
127,127,cll,22,12625,relaxed_lasso_wrapper,LogisticRegression(),5,Leave-pair-out,2,PR-AUC,0.6527777777777778
128,128,cll,22,12625,f_classif_wrapper,LogisticRegression(),10,Leave-pair-out,2,PR-AUC,0.6388888888888888
129,129,cll,22,12625,RFE_wrapper,LogisticRegression(),10,Leave-pair-out,2,PR-AUC,0.6527777777777778
130,130,cll,22,12625,relieff_wrapper,LogisticRegression(),10,Leave-pair-out,2,PR-AUC,0.6388888888888888
131,131,cll,22,12625,relaxed_lasso_wrapper,LogisticRegression(),10,Leave-pair-out,2,PR-AUC,0.5902777777777778
132,132,cll,22,12625,f_classif_wrapper,LogisticRegression(),20,Leave-pair-out,2,PR-AUC,0.6388888888888888
133,133,cll,22,12625,RFE_wrapper,LogisticRegression(),20,Leave-pair-out,2,PR-AUC,0.6527777777777778
134,134,cll,22,12625,relieff_wrapper,LogisticRegression(),20,Leave-pair-out,2,PR-AUC,0.6388888888888888
135,135,cll,22,12625,relaxed_lasso_wrapper,LogisticRegression(),20,Leave-pair-out,2,PR-AUC,0.5277777777777778
136,136,cll,22,12625,f_classif_wrapper,LogisticRegression(),50,Leave-pair-out,2,PR-AUC,0.6388888888888888
137,137,cll,22,12625,RFE_wrapper,LogisticRegression(),50,Leave-pair-out,2,PR-AUC,0.6527777777777778
138,138,cll,22,12625,relieff_wrapper,LogisticRegression(),50,Leave-pair-out,2,PR-AUC,0.5833333333333333
139,139,cll,22,12625,relaxed_lasso_wrapper,LogisticRegression(),50,Leave-pair-out,2,PR-AUC,0.6388888888888888
140,140,cll,22,12625,f_classif_wrapper,LogisticRegression(),100,Leave-pair-out,2,PR-AUC,0.5208333333333333
141,141,cll,22,12625,RFE_wrapper,LogisticRegression(),100,Leave-pair-out,2,PR-AUC,0.5902777777777778
142,142,cll,22,12625,relieff_wrapper,LogisticRegression(),100,Leave-pair-out,2,PR-AUC,0.5277777777777778
143,143,cll,22,12625,relaxed_lasso_wrapper,LogisticRegression(),100,Leave-pair-out,2,PR-AUC,0.5833333333333333
144,144,cll,22,12625,f_classif_wrapper,KNeighborsClassifier(),1,Leave-pair-out,2,PR-AUC,0.7152777777777778
145,145,cll,22,12625,RFE_wrapper,KNeighborsClassifier(),1,Leave-pair-out,2,PR-AUC,0.7152777777777778
146,146,cll,22,12625,relieff_wrapper,KNeighborsClassifier(),1,Leave-pair-out,2,PR-AUC,0.7152777777777778
147,147,cll,22,12625,relaxed_lasso_wrapper,KNeighborsClassifier(),1,Leave-pair-out,2,PR-AUC,0.5902777777777778
148,148,cll,22,12625,f_classif_wrapper,KNeighborsClassifier(),2,Leave-pair-out,2,PR-AUC,0.5902777777777778
149,149,cll,22,12625,RFE_wrapper,KNeighborsClassifier(),2,Leave-pair-out,2,PR-AUC,0.7152777777777778
150,150,cll,22,12625,relieff_wrapper,KNeighborsClassifier(),2,Leave-pair-out,2,PR-AUC,0.7152777777777778
151,151,cll,22,12625,relaxed_lasso_wrapper,KNeighborsClassifier(),2,Leave-pair-out,2,PR-AUC,0.5902777777777778
152,152,cll,22,12625,f_classif_wrapper,KNeighborsClassifier(),3,Leave-pair-out,2,PR-AUC,0.5902777777777778
153,153,cll,22,12625,RFE_wrapper,KNeighborsClassifier(),3,Leave-pair-out,2,PR-AUC,0.7152777777777778
154,154,cll,22,12625,relieff_wrapper,KNeighborsClassifier(),3,Leave-pair-out,2,PR-AUC,0.5277777777777778
155,155,cll,22,12625,relaxed_lasso_wrapper,KNeighborsClassifier(),3,Leave-pair-out,2,PR-AUC,0.5277777777777778
156,156,cll,22,12625,f_classif_wrapper,KNeighborsClassifier(),4,Leave-pair-out,2,PR-AUC,0.5902777777777778
157,157,cll,22,12625,RFE_wrapper,KNeighborsClassifier(),4,Leave-pair-out,2,PR-AUC,0.7152777777777778
158,158,cll,22,12625,relieff_wrapper,KNeighborsClassifier(),4,Leave-pair-out,2,PR-AUC,0.4652777777777778
159,159,cll,22,12625,relaxed_lasso_wrapper,KNeighborsClassifier(),4,Leave-pair-out,2,PR-AUC,0.5277777777777778
160,160,cll,22,12625,f_classif_wrapper,KNeighborsClassifier(),5,Leave-pair-out,2,PR-AUC,0.5902777777777778
161,161,cll,22,12625,RFE_wrapper,KNeighborsClassifier(),5,Leave-pair-out,2,PR-AUC,0.7152777777777778
162,162,cll,22,12625,relieff_wrapper,KNeighborsClassifier(),5,Leave-pair-out,2,PR-AUC,0.5277777777777778
163,163,cll,22,12625,relaxed_lasso_wrapper,KNeighborsClassifier(),5,Leave-pair-out,2,PR-AUC,0.6527777777777778
164,164,cll,22,12625,f_classif_wrapper,KNeighborsClassifier(),10,Leave-pair-out,2,PR-AUC,0.5277777777777778
165,165,cll,22,12625,RFE_wrapper,KNeighborsClassifier(),10,Leave-pair-out,2,PR-AUC,0.7152777777777778
