,index,Dataset Name,Number of samples,Original Number of features,Filtering Algorithm,Learning algorithm,Number of features selected (K),CV Method,Fold,Measure Type,Measure Value
0,0,bladderbatch,57,22283,f_classif_wrapper,GaussianNB(),1,Leave-one-out,2,ACC,0.7322134387351779
1,1,bladderbatch,57,22283,RFE_wrapper,GaussianNB(),1,Leave-one-out,2,ACC,0.4041501976284585
2,2,bladderbatch,57,22283,relieff_wrapper,GaussianNB(),1,Leave-one-out,2,ACC,0.733201581027668
3,3,bladderbatch,57,22283,relaxed_lasso_wrapper,GaussianNB(),1,Leave-one-out,2,ACC,0.733201581027668
4,4,bladderbatch,57,22283,f_classif_wrapper,GaussianNB(),2,Leave-one-out,2,ACC,0.9337944664031621
5,5,bladderbatch,57,22283,RFE_wrapper,GaussianNB(),2,Leave-one-out,2,ACC,0.4723320158102767
6,6,bladderbatch,57,22283,relieff_wrapper,GaussianNB(),2,Leave-one-out,2,ACC,0.7114624505928854
7,7,bladderbatch,57,22283,relaxed_lasso_wrapper,GaussianNB(),2,Leave-one-out,2,ACC,0.7322134387351779
8,8,bladderbatch,57,22283,f_classif_wrapper,GaussianNB(),3,Leave-one-out,2,ACC,0.8675889328063241
9,9,bladderbatch,57,22283,RFE_wrapper,GaussianNB(),3,Leave-one-out,2,ACC,0.6037549407114624
10,10,bladderbatch,57,22283,relieff_wrapper,GaussianNB(),3,Leave-one-out,2,ACC,0.7351778656126482
11,11,bladderbatch,57,22283,relaxed_lasso_wrapper,GaussianNB(),3,Leave-one-out,2,ACC,0.7094861660079052
12,12,bladderbatch,57,22283,f_classif_wrapper,GaussianNB(),4,Leave-one-out,2,ACC,0.8448616600790514
13,13,bladderbatch,57,22283,RFE_wrapper,GaussianNB(),4,Leave-one-out,2,ACC,0.7766798418972332
14,14,bladderbatch,57,22283,relieff_wrapper,GaussianNB(),4,Leave-one-out,2,ACC,0.7539525691699605
15,15,bladderbatch,57,22283,relaxed_lasso_wrapper,GaussianNB(),4,Leave-one-out,2,ACC,0.7322134387351779
16,16,bladderbatch,57,22283,f_classif_wrapper,GaussianNB(),5,Leave-one-out,2,ACC,0.8438735177865613
17,17,bladderbatch,57,22283,RFE_wrapper,GaussianNB(),5,Leave-one-out,2,ACC,0.7766798418972332
18,18,bladderbatch,57,22283,relieff_wrapper,GaussianNB(),5,Leave-one-out,2,ACC,0.7766798418972332
19,19,bladderbatch,57,22283,relaxed_lasso_wrapper,GaussianNB(),5,Leave-one-out,2,ACC,0.7322134387351779
20,20,bladderbatch,57,22283,f_classif_wrapper,GaussianNB(),10,Leave-one-out,2,ACC,0.8656126482213439
21,21,bladderbatch,57,22283,RFE_wrapper,GaussianNB(),10,Leave-one-out,2,ACC,0.7766798418972332
22,22,bladderbatch,57,22283,relieff_wrapper,GaussianNB(),10,Leave-one-out,2,ACC,0.7974308300395256
23,23,bladderbatch,57,22283,relaxed_lasso_wrapper,GaussianNB(),10,Leave-one-out,2,ACC,0.7322134387351779
24,24,bladderbatch,57,22283,f_classif_wrapper,GaussianNB(),20,Leave-one-out,2,ACC,0.8201581027667983
25,25,bladderbatch,57,22283,RFE_wrapper,GaussianNB(),20,Leave-one-out,2,ACC,0.7766798418972332
26,26,bladderbatch,57,22283,relieff_wrapper,GaussianNB(),20,Leave-one-out,2,ACC,0.7974308300395256
27,27,bladderbatch,57,22283,relaxed_lasso_wrapper,GaussianNB(),20,Leave-one-out,2,ACC,0.7539525691699605
28,28,bladderbatch,57,22283,f_classif_wrapper,GaussianNB(),50,Leave-one-out,2,ACC,0.841897233201581
29,29,bladderbatch,57,22283,RFE_wrapper,GaussianNB(),50,Leave-one-out,2,ACC,0.7766798418972332
30,30,bladderbatch,57,22283,relieff_wrapper,GaussianNB(),50,Leave-one-out,2,ACC,0.775691699604743
31,31,bladderbatch,57,22283,relaxed_lasso_wrapper,GaussianNB(),50,Leave-one-out,2,ACC,0.7322134387351779
