,index,Dataset Name,Number of samples,Original Number of features,Filtering Algorithm,Learning algorithm,Number of features selected (K),CV Method,Fold,Measure Type,Measure Value
0,0,bladderbatch,57,22283,f_classif_wrapper,GaussianNB(),1,Leave-one-out,2,MCC,0.46127725277679393
1,1,bladderbatch,57,22283,RFE_wrapper,GaussianNB(),1,Leave-one-out,2,MCC,-0.147433251912304
2,2,bladderbatch,57,22283,relieff_wrapper,GaussianNB(),1,Leave-one-out,2,MCC,0.34714080070403025
3,3,bladderbatch,57,22283,relaxed_lasso_wrapper,GaussianNB(),1,Leave-one-out,2,MCC,0.3954767589740492
4,4,bladderbatch,57,22283,f_classif_wrapper,GaussianNB(),2,Leave-one-out,2,MCC,0.8477945655258093
5,5,bladderbatch,57,22283,RFE_wrapper,GaussianNB(),2,Leave-one-out,2,MCC,0.11757413942641895
6,6,bladderbatch,57,22283,relieff_wrapper,GaussianNB(),2,Leave-one-out,2,MCC,0.3252164843215578
7,7,bladderbatch,57,22283,relaxed_lasso_wrapper,GaussianNB(),2,Leave-one-out,2,MCC,0.36665971192272734
8,8,bladderbatch,57,22283,f_classif_wrapper,GaussianNB(),3,Leave-one-out,2,MCC,0.7218391509890472
9,9,bladderbatch,57,22283,RFE_wrapper,GaussianNB(),3,Leave-one-out,2,MCC,0.25034758445704697
10,10,bladderbatch,57,22283,relieff_wrapper,GaussianNB(),3,Leave-one-out,2,MCC,0.41392051434339544
11,11,bladderbatch,57,22283,relaxed_lasso_wrapper,GaussianNB(),3,Leave-one-out,2,MCC,0.291678093839339
12,12,bladderbatch,57,22283,f_classif_wrapper,GaussianNB(),4,Leave-one-out,2,MCC,0.6714158594448433
13,13,bladderbatch,57,22283,RFE_wrapper,GaussianNB(),4,Leave-one-out,2,MCC,0.4923816898399487
14,14,bladderbatch,57,22283,relieff_wrapper,GaussianNB(),4,Leave-one-out,2,MCC,0.3756103295587304
15,15,bladderbatch,57,22283,relaxed_lasso_wrapper,GaussianNB(),4,Leave-one-out,2,MCC,0.3153627220331859
16,16,bladderbatch,57,22283,f_classif_wrapper,GaussianNB(),5,Leave-one-out,2,MCC,0.6534258169364132
17,17,bladderbatch,57,22283,RFE_wrapper,GaussianNB(),5,Leave-one-out,2,MCC,0.4923816898399487
18,18,bladderbatch,57,22283,relieff_wrapper,GaussianNB(),5,Leave-one-out,2,MCC,0.4593078810171025
19,19,bladderbatch,57,22283,relaxed_lasso_wrapper,GaussianNB(),5,Leave-one-out,2,MCC,0.3153627220331859
20,20,bladderbatch,57,22283,f_classif_wrapper,GaussianNB(),10,Leave-one-out,2,MCC,0.7109212327120604
21,21,bladderbatch,57,22283,RFE_wrapper,GaussianNB(),10,Leave-one-out,2,MCC,0.507332918412946
22,22,bladderbatch,57,22283,relieff_wrapper,GaussianNB(),10,Leave-one-out,2,MCC,0.3965478996822758
23,23,bladderbatch,57,22283,relaxed_lasso_wrapper,GaussianNB(),10,Leave-one-out,2,MCC,0.3050928061655488
24,24,bladderbatch,57,22283,f_classif_wrapper,GaussianNB(),20,Leave-one-out,2,MCC,0.6333879790879458
25,25,bladderbatch,57,22283,RFE_wrapper,GaussianNB(),20,Leave-one-out,2,MCC,0.507332918412946
26,26,bladderbatch,57,22283,relieff_wrapper,GaussianNB(),20,Leave-one-out,2,MCC,0.3965478996822758
27,27,bladderbatch,57,22283,relaxed_lasso_wrapper,GaussianNB(),20,Leave-one-out,2,MCC,0.28982959850962225
28,28,bladderbatch,57,22283,f_classif_wrapper,GaussianNB(),50,Leave-one-out,2,MCC,0.6881642871494842
29,29,bladderbatch,57,22283,RFE_wrapper,GaussianNB(),50,Leave-one-out,2,MCC,0.5093410883450155
30,30,bladderbatch,57,22283,relieff_wrapper,GaussianNB(),50,Leave-one-out,2,MCC,0.34911465808159287
31,31,bladderbatch,57,22283,relaxed_lasso_wrapper,GaussianNB(),50,Leave-one-out,2,MCC,0.20925553466486563
32,32,bladderbatch,57,22283,f_classif_wrapper,GaussianNB(),100,Leave-one-out,2,MCC,0.5240128948954272
33,33,bladderbatch,57,22283,RFE_wrapper,GaussianNB(),100,Leave-one-out,2,MCC,0.49903641552395833
34,34,bladderbatch,57,22283,relieff_wrapper,GaussianNB(),100,Leave-one-out,2,MCC,0.28003314197798196
35,35,bladderbatch,57,22283,relaxed_lasso_wrapper,GaussianNB(),100,Leave-one-out,2,MCC,0.48207701701889155
36,36,bladderbatch,57,22283,f_classif_wrapper,SVC(),1,Leave-one-out,2,MCC,0.1949372748489655
37,37,bladderbatch,57,22283,RFE_wrapper,SVC(),1,Leave-one-out,2,MCC,0.0
38,38,bladderbatch,57,22283,relieff_wrapper,SVC(),1,Leave-one-out,2,MCC,0.0
39,39,bladderbatch,57,22283,relaxed_lasso_wrapper,SVC(),1,Leave-one-out,2,MCC,0.0
40,40,bladderbatch,57,22283,f_classif_wrapper,SVC(),2,Leave-one-out,2,MCC,0.43397421272897196
41,41,bladderbatch,57,22283,RFE_wrapper,SVC(),2,Leave-one-out,2,MCC,0.0
42,42,bladderbatch,57,22283,relieff_wrapper,SVC(),2,Leave-one-out,2,MCC,0.0
43,43,bladderbatch,57,22283,relaxed_lasso_wrapper,SVC(),2,Leave-one-out,2,MCC,0.0
44,44,bladderbatch,57,22283,f_classif_wrapper,SVC(),3,Leave-one-out,2,MCC,0.5280155062339253
45,45,bladderbatch,57,22283,RFE_wrapper,SVC(),3,Leave-one-out,2,MCC,0.0
46,46,bladderbatch,57,22283,relieff_wrapper,SVC(),3,Leave-one-out,2,MCC,0.1949372748489655
47,47,bladderbatch,57,22283,relaxed_lasso_wrapper,SVC(),3,Leave-one-out,2,MCC,0.12042544718422038
48,48,bladderbatch,57,22283,f_classif_wrapper,SVC(),4,Leave-one-out,2,MCC,0.4953321566755258
49,49,bladderbatch,57,22283,RFE_wrapper,SVC(),4,Leave-one-out,2,MCC,0.07622959014203828
50,50,bladderbatch,57,22283,relieff_wrapper,SVC(),4,Leave-one-out,2,MCC,0.2889522331938468
51,51,bladderbatch,57,22283,relaxed_lasso_wrapper,SVC(),4,Leave-one-out,2,MCC,0.3999581431940577
52,52,bladderbatch,57,22283,f_classif_wrapper,SVC(),5,Leave-one-out,2,MCC,0.5419573727493119
53,53,bladderbatch,57,22283,RFE_wrapper,SVC(),5,Leave-one-out,2,MCC,0.4809542865017882
54,54,bladderbatch,57,22283,relieff_wrapper,SVC(),5,Leave-one-out,2,MCC,0.34736749130024536
55,55,bladderbatch,57,22283,relaxed_lasso_wrapper,SVC(),5,Leave-one-out,2,MCC,0.5223362669482142
56,56,bladderbatch,57,22283,f_classif_wrapper,SVC(),10,Leave-one-out,2,MCC,0.5589167712543788
57,57,bladderbatch,57,22283,RFE_wrapper,SVC(),10,Leave-one-out,2,MCC,0.5419573727493119
58,58,bladderbatch,57,22283,relieff_wrapper,SVC(),10,Leave-one-out,2,MCC,0.5552885984683096
59,59,bladderbatch,57,22283,relaxed_lasso_wrapper,SVC(),10,Leave-one-out,2,MCC,0.6281189723764492
60,60,bladderbatch,57,22283,f_classif_wrapper,SVC(),20,Leave-one-out,2,MCC,0.5997191609491415
61,61,bladderbatch,57,22283,RFE_wrapper,SVC(),20,Leave-one-out,2,MCC,0.6542974931198134
62,62,bladderbatch,57,22283,relieff_wrapper,SVC(),20,Leave-one-out,2,MCC,0.4894832506081066
63,63,bladderbatch,57,22283,relaxed_lasso_wrapper,SVC(),20,Leave-one-out,2,MCC,0.706358264893612
64,64,bladderbatch,57,22283,f_classif_wrapper,SVC(),50,Leave-one-out,2,MCC,0.7641200530934413
65,65,bladderbatch,57,22283,RFE_wrapper,SVC(),50,Leave-one-out,2,MCC,0.5909395262410202
66,66,bladderbatch,57,22283,relieff_wrapper,SVC(),50,Leave-one-out,2,MCC,0.6275267527848855
67,67,bladderbatch,57,22283,relaxed_lasso_wrapper,SVC(),50,Leave-one-out,2,MCC,0.6639511066937557
68,68,bladderbatch,57,22283,f_classif_wrapper,SVC(),100,Leave-one-out,2,MCC,0.8571873678267328
69,69,bladderbatch,57,22283,RFE_wrapper,SVC(),100,Leave-one-out,2,MCC,0.8502735540039018
70,70,bladderbatch,57,22283,relieff_wrapper,SVC(),100,Leave-one-out,2,MCC,0.6639511066937557
71,71,bladderbatch,57,22283,relaxed_lasso_wrapper,SVC(),100,Leave-one-out,2,MCC,0.7641200530934413
72,72,bladderbatch,57,22283,f_classif_wrapper,RandomForestClassifier(),1,Leave-one-out,2,MCC,0.42433135411255946
73,73,bladderbatch,57,22283,RFE_wrapper,RandomForestClassifier(),1,Leave-one-out,2,MCC,0.0
74,74,bladderbatch,57,22283,relieff_wrapper,RandomForestClassifier(),1,Leave-one-out,2,MCC,0.3163947407969397
75,75,bladderbatch,57,22283,relaxed_lasso_wrapper,RandomForestClassifier(),1,Leave-one-out,2,MCC,0.35495712738941404
76,76,bladderbatch,57,22283,f_classif_wrapper,RandomForestClassifier(),2,Leave-one-out,2,MCC,0.615466687257515
77,77,bladderbatch,57,22283,RFE_wrapper,RandomForestClassifier(),2,Leave-one-out,2,MCC,0.18835775072403702
78,78,bladderbatch,57,22283,relieff_wrapper,RandomForestClassifier(),2,Leave-one-out,2,MCC,0.3197973143234349
79,79,bladderbatch,57,22283,relaxed_lasso_wrapper,RandomForestClassifier(),2,Leave-one-out,2,MCC,0.41025504569384263
80,80,bladderbatch,57,22283,f_classif_wrapper,RandomForestClassifier(),3,Leave-one-out,2,MCC,0.5970267344849804
81,81,bladderbatch,57,22283,RFE_wrapper,RandomForestClassifier(),3,Leave-one-out,2,MCC,0.17805307790297992
82,82,bladderbatch,57,22283,relieff_wrapper,RandomForestClassifier(),3,Leave-one-out,2,MCC,0.4786561866580398
83,83,bladderbatch,57,22283,relaxed_lasso_wrapper,RandomForestClassifier(),3,Leave-one-out,2,MCC,0.4365131315515224
84,84,bladderbatch,57,22283,f_classif_wrapper,RandomForestClassifier(),4,Leave-one-out,2,MCC,0.5589167712543788
85,85,bladderbatch,57,22283,RFE_wrapper,RandomForestClassifier(),4,Leave-one-out,2,MCC,0.41529979484006196
86,86,bladderbatch,57,22283,relieff_wrapper,RandomForestClassifier(),4,Leave-one-out,2,MCC,0.5930495710841155
87,87,bladderbatch,57,22283,relaxed_lasso_wrapper,RandomForestClassifier(),4,Leave-one-out,2,MCC,0.4606656572958563
88,88,bladderbatch,57,22283,f_classif_wrapper,RandomForestClassifier(),5,Leave-one-out,2,MCC,0.5817746830952566
89,89,bladderbatch,57,22283,RFE_wrapper,RandomForestClassifier(),5,Leave-one-out,2,MCC,0.4923816898399487
90,90,bladderbatch,57,22283,relieff_wrapper,RandomForestClassifier(),5,Leave-one-out,2,MCC,0.4558399454037886
91,91,bladderbatch,57,22283,relaxed_lasso_wrapper,RandomForestClassifier(),5,Leave-one-out,2,MCC,0.4332433755517048
92,92,bladderbatch,57,22283,f_classif_wrapper,RandomForestClassifier(),10,Leave-one-out,2,MCC,0.6378291241797431
93,93,bladderbatch,57,22283,RFE_wrapper,RandomForestClassifier(),10,Leave-one-out,2,MCC,0.5543715235729586
94,94,bladderbatch,57,22283,relieff_wrapper,RandomForestClassifier(),10,Leave-one-out,2,MCC,0.30402393911591163
95,95,bladderbatch,57,22283,relaxed_lasso_wrapper,RandomForestClassifier(),10,Leave-one-out,2,MCC,0.6295556183757756
96,96,bladderbatch,57,22283,f_classif_wrapper,RandomForestClassifier(),20,Leave-one-out,2,MCC,0.5409722934004939
97,97,bladderbatch,57,22283,RFE_wrapper,RandomForestClassifier(),20,Leave-one-out,2,MCC,0.4888821208710995
98,98,bladderbatch,57,22283,relieff_wrapper,RandomForestClassifier(),20,Leave-one-out,2,MCC,0.30402393911591163
99,99,bladderbatch,57,22283,relaxed_lasso_wrapper,RandomForestClassifier(),20,Leave-one-out,2,MCC,0.4923816898399487
100,100,bladderbatch,57,22283,f_classif_wrapper,RandomForestClassifier(),50,Leave-one-out,2,MCC,0.5997191609491415
101,101,bladderbatch,57,22283,RFE_wrapper,RandomForestClassifier(),50,Leave-one-out,2,MCC,0.5970267344849804
102,102,bladderbatch,57,22283,relieff_wrapper,RandomForestClassifier(),50,Leave-one-out,2,MCC,0.3871173379849424
103,103,bladderbatch,57,22283,relaxed_lasso_wrapper,RandomForestClassifier(),50,Leave-one-out,2,MCC,0.5543715235729586
104,104,bladderbatch,57,22283,f_classif_wrapper,RandomForestClassifier(),100,Leave-one-out,2,MCC,0.5970267344849804
105,105,bladderbatch,57,22283,RFE_wrapper,RandomForestClassifier(),100,Leave-one-out,2,MCC,0.6264616659486663
106,106,bladderbatch,57,22283,relieff_wrapper,RandomForestClassifier(),100,Leave-one-out,2,MCC,0.6781707054477111
107,107,bladderbatch,57,22283,relaxed_lasso_wrapper,RandomForestClassifier(),100,Leave-one-out,2,MCC,0.4923816898399487
108,108,bladderbatch,57,22283,f_classif_wrapper,LogisticRegression(),1,Leave-one-out,2,MCC,0.19311496169316364
109,109,bladderbatch,57,22283,RFE_wrapper,LogisticRegression(),1,Leave-one-out,2,MCC,0.0
110,110,bladderbatch,57,22283,relieff_wrapper,LogisticRegression(),1,Leave-one-out,2,MCC,0.0
111,111,bladderbatch,57,22283,relaxed_lasso_wrapper,LogisticRegression(),1,Leave-one-out,2,MCC,-0.040655781409087086
112,112,bladderbatch,57,22283,f_classif_wrapper,LogisticRegression(),2,Leave-one-out,2,MCC,0.4302510234130593
113,113,bladderbatch,57,22283,RFE_wrapper,LogisticRegression(),2,Leave-one-out,2,MCC,0.0
114,114,bladderbatch,57,22283,relieff_wrapper,LogisticRegression(),2,Leave-one-out,2,MCC,0.0
115,115,bladderbatch,57,22283,relaxed_lasso_wrapper,LogisticRegression(),2,Leave-one-out,2,MCC,0.17693034738587657
116,116,bladderbatch,57,22283,f_classif_wrapper,LogisticRegression(),3,Leave-one-out,2,MCC,0.4469309998955405
117,117,bladderbatch,57,22283,RFE_wrapper,LogisticRegression(),3,Leave-one-out,2,MCC,0.0
118,118,bladderbatch,57,22283,relieff_wrapper,LogisticRegression(),3,Leave-one-out,2,MCC,0.19311496169316364
119,119,bladderbatch,57,22283,relaxed_lasso_wrapper,LogisticRegression(),3,Leave-one-out,2,MCC,0.329680981849086
120,120,bladderbatch,57,22283,f_classif_wrapper,LogisticRegression(),4,Leave-one-out,2,MCC,0.5240128948954272
121,121,bladderbatch,57,22283,RFE_wrapper,LogisticRegression(),4,Leave-one-out,2,MCC,0.07622959014203828
122,122,bladderbatch,57,22283,relieff_wrapper,LogisticRegression(),4,Leave-one-out,2,MCC,0.0
123,123,bladderbatch,57,22283,relaxed_lasso_wrapper,LogisticRegression(),4,Leave-one-out,2,MCC,0.3999581431940577
124,124,bladderbatch,57,22283,f_classif_wrapper,LogisticRegression(),5,Leave-one-out,2,MCC,0.5098185542891378
125,125,bladderbatch,57,22283,RFE_wrapper,LogisticRegression(),5,Leave-one-out,2,MCC,0.37015793947987563
126,126,bladderbatch,57,22283,relieff_wrapper,LogisticRegression(),5,Leave-one-out,2,MCC,0.0
127,127,bladderbatch,57,22283,relaxed_lasso_wrapper,LogisticRegression(),5,Leave-one-out,2,MCC,0.45646304339571386
128,128,bladderbatch,57,22283,f_classif_wrapper,LogisticRegression(),10,Leave-one-out,2,MCC,0.5419573727493119
129,129,bladderbatch,57,22283,RFE_wrapper,LogisticRegression(),10,Leave-one-out,2,MCC,0.4302510234130593
130,130,bladderbatch,57,22283,relieff_wrapper,LogisticRegression(),10,Leave-one-out,2,MCC,0.22694204411602495
131,131,bladderbatch,57,22283,relaxed_lasso_wrapper,LogisticRegression(),10,Leave-one-out,2,MCC,0.4923816898399487
132,132,bladderbatch,57,22283,f_classif_wrapper,LogisticRegression(),20,Leave-one-out,2,MCC,0.5589167712543788
133,133,bladderbatch,57,22283,RFE_wrapper,LogisticRegression(),20,Leave-one-out,2,MCC,0.6095022674435995
134,134,bladderbatch,57,22283,relieff_wrapper,LogisticRegression(),20,Leave-one-out,2,MCC,0.3559635988735862
135,135,bladderbatch,57,22283,relaxed_lasso_wrapper,LogisticRegression(),20,Leave-one-out,2,MCC,0.6095022674435995
136,136,bladderbatch,57,22283,f_classif_wrapper,LogisticRegression(),50,Leave-one-out,2,MCC,0.5970267344849804
137,137,bladderbatch,57,22283,RFE_wrapper,LogisticRegression(),50,Leave-one-out,2,MCC,0.647016966336355
138,138,bladderbatch,57,22283,relieff_wrapper,LogisticRegression(),50,Leave-one-out,2,MCC,0.655934973349408
139,139,bladderbatch,57,22283,relaxed_lasso_wrapper,LogisticRegression(),50,Leave-one-out,2,MCC,0.6612113069426444
140,140,bladderbatch,57,22283,f_classif_wrapper,LogisticRegression(),100,Leave-one-out,2,MCC,0.6772524145732561
