,index,Dataset Name,Number of samples,Original Number of features,Filtering Algorithm,Learning algorithm,Number of features selected (K),CV Method,Fold,Measure Type,Measure Value
0,0,bladderbatch,57,22283,f_classif_wrapper,GaussianNB(),1,Leave-one-out,2,AUC,0.9261782682700707
1,1,bladderbatch,57,22283,RFE_wrapper,GaussianNB(),1,Leave-one-out,2,AUC,0.3707237534081659
2,2,bladderbatch,57,22283,relieff_wrapper,GaussianNB(),1,Leave-one-out,2,AUC,0.6853113296493968
3,3,bladderbatch,57,22283,relaxed_lasso_wrapper,GaussianNB(),1,Leave-one-out,2,AUC,0.7590069395763298
4,4,bladderbatch,57,22283,f_classif_wrapper,GaussianNB(),2,Leave-one-out,2,AUC,0.9811086510743261
5,5,bladderbatch,57,22283,RFE_wrapper,GaussianNB(),2,Leave-one-out,2,AUC,0.5083564744807847
6,6,bladderbatch,57,22283,relieff_wrapper,GaussianNB(),2,Leave-one-out,2,AUC,0.656658823296325
7,7,bladderbatch,57,22283,relaxed_lasso_wrapper,GaussianNB(),2,Leave-one-out,2,AUC,0.7074134490492682
8,8,bladderbatch,57,22283,f_classif_wrapper,GaussianNB(),3,Leave-one-out,2,AUC,0.975496795348054
9,9,bladderbatch,57,22283,RFE_wrapper,GaussianNB(),3,Leave-one-out,2,AUC,0.6157416617572762
10,10,bladderbatch,57,22283,relieff_wrapper,GaussianNB(),3,Leave-one-out,2,AUC,0.7824834042208519
11,11,bladderbatch,57,22283,relaxed_lasso_wrapper,GaussianNB(),3,Leave-one-out,2,AUC,0.7702980495297764
12,12,bladderbatch,57,22283,f_classif_wrapper,GaussianNB(),4,Leave-one-out,2,AUC,0.9460060797774488
13,13,bladderbatch,57,22283,RFE_wrapper,GaussianNB(),4,Leave-one-out,2,AUC,0.9135109046739145
14,14,bladderbatch,57,22283,relieff_wrapper,GaussianNB(),4,Leave-one-out,2,AUC,0.7972872121596715
15,15,bladderbatch,57,22283,relaxed_lasso_wrapper,GaussianNB(),4,Leave-one-out,2,AUC,0.7590865241457514
16,16,bladderbatch,57,22283,f_classif_wrapper,GaussianNB(),5,Leave-one-out,2,AUC,0.9605533174368145
17,17,bladderbatch,57,22283,RFE_wrapper,GaussianNB(),5,Leave-one-out,2,AUC,0.9198156909945174
18,18,bladderbatch,57,22283,relieff_wrapper,GaussianNB(),5,Leave-one-out,2,AUC,0.8339984974643071
19,19,bladderbatch,57,22283,relaxed_lasso_wrapper,GaussianNB(),5,Leave-one-out,2,AUC,0.8346997681951915
20,20,bladderbatch,57,22283,f_classif_wrapper,GaussianNB(),10,Leave-one-out,2,AUC,0.9616974821965399
21,21,bladderbatch,57,22283,RFE_wrapper,GaussianNB(),10,Leave-one-out,2,AUC,0.9535893544020482
22,22,bladderbatch,57,22283,relieff_wrapper,GaussianNB(),10,Leave-one-out,2,AUC,0.6384743901721288
23,23,bladderbatch,57,22283,relaxed_lasso_wrapper,GaussianNB(),10,Leave-one-out,2,AUC,0.9186681246245116
