,index,Dataset Name,Number of samples,Original Number of features,Filtering Algorithm,Learning algorithm,Number of features selected (K),CV Method,Fold,Measure Type,Measure Value
0,0,sorlie,85,456,f_classif_wrapper,GaussianNB(),1,Leave-one-out,2,ACC,0.6470588235294118
1,1,sorlie,85,456,RFE_wrapper,GaussianNB(),1,Leave-one-out,2,ACC,0.27941176470588236
2,2,sorlie,85,456,relieff_wrapper,GaussianNB(),1,Leave-one-out,2,ACC,0.4264705882352941
3,3,sorlie,85,456,relaxed_lasso_wrapper,GaussianNB(),1,Leave-one-out,2,ACC,
4,4,sorlie,85,456,f_classif_wrapper,GaussianNB(),2,Leave-one-out,2,ACC,0.6323529411764706
5,5,sorlie,85,456,RFE_wrapper,GaussianNB(),2,Leave-one-out,2,ACC,0.3088235294117647
6,6,sorlie,85,456,relieff_wrapper,GaussianNB(),2,Leave-one-out,2,ACC,0.3970588235294118
7,7,sorlie,85,456,relaxed_lasso_wrapper,GaussianNB(),2,Leave-one-out,2,ACC,
8,8,sorlie,85,456,f_classif_wrapper,GaussianNB(),3,Leave-one-out,2,ACC,0.6764705882352942
9,9,sorlie,85,456,RFE_wrapper,GaussianNB(),3,Leave-one-out,2,ACC,0.36764705882352944
10,10,sorlie,85,456,relieff_wrapper,GaussianNB(),3,Leave-one-out,2,ACC,0.38235294117647056
11,11,sorlie,85,456,relaxed_lasso_wrapper,GaussianNB(),3,Leave-one-out,2,ACC,
12,12,sorlie,85,456,f_classif_wrapper,GaussianNB(),4,Leave-one-out,2,ACC,0.6911764705882353
13,13,sorlie,85,456,RFE_wrapper,GaussianNB(),4,Leave-one-out,2,ACC,0.5147058823529411
14,14,sorlie,85,456,relieff_wrapper,GaussianNB(),4,Leave-one-out,2,ACC,0.4117647058823529
15,15,sorlie,85,456,relaxed_lasso_wrapper,GaussianNB(),4,Leave-one-out,2,ACC,
16,16,sorlie,85,456,f_classif_wrapper,GaussianNB(),5,Leave-one-out,2,ACC,0.7352941176470589
17,17,sorlie,85,456,RFE_wrapper,GaussianNB(),5,Leave-one-out,2,ACC,0.5147058823529411
18,18,sorlie,85,456,relieff_wrapper,GaussianNB(),5,Leave-one-out,2,ACC,0.42647058823529416
19,19,sorlie,85,456,relaxed_lasso_wrapper,GaussianNB(),5,Leave-one-out,2,ACC,
20,20,sorlie,85,456,f_classif_wrapper,GaussianNB(),10,Leave-one-out,2,ACC,0.7058823529411765
21,21,sorlie,85,456,RFE_wrapper,GaussianNB(),10,Leave-one-out,2,ACC,0.5441176470588236
22,22,sorlie,85,456,relieff_wrapper,GaussianNB(),10,Leave-one-out,2,ACC,0.5
23,23,sorlie,85,456,relaxed_lasso_wrapper,GaussianNB(),10,Leave-one-out,2,ACC,
24,24,sorlie,85,456,f_classif_wrapper,GaussianNB(),20,Leave-one-out,2,ACC,0.7205882352941176
25,25,sorlie,85,456,RFE_wrapper,GaussianNB(),20,Leave-one-out,2,ACC,0.5
26,26,sorlie,85,456,relieff_wrapper,GaussianNB(),20,Leave-one-out,2,ACC,0.5147058823529411
