,index,Dataset Name,Number of samples,Original Number of features,Filtering Algorithm,Learning algorithm,Number of features selected (K),CV Method,Fold,Measure Type,Measure Value
0,0,sorlie,85,456,f_classif_wrapper,GaussianNB(),1,Leave-one-out,2,AUC,0.9042697583011985
1,1,sorlie,85,456,RFE_wrapper,GaussianNB(),1,Leave-one-out,2,AUC,0.5120209025254664
2,2,sorlie,85,456,relieff_wrapper,GaussianNB(),1,Leave-one-out,2,AUC,0.6471553674520206
3,3,sorlie,85,456,relaxed_lasso_wrapper,GaussianNB(),1,Leave-one-out,2,AUC,
4,4,sorlie,85,456,f_classif_wrapper,GaussianNB(),2,Leave-one-out,2,AUC,0.9028530377668309
5,5,sorlie,85,456,RFE_wrapper,GaussianNB(),2,Leave-one-out,2,AUC,0.5957126882583272
6,6,sorlie,85,456,relieff_wrapper,GaussianNB(),2,Leave-one-out,2,AUC,0.6857089918195395
7,7,sorlie,85,456,relaxed_lasso_wrapper,GaussianNB(),2,Leave-one-out,2,AUC,
8,8,sorlie,85,456,f_classif_wrapper,GaussianNB(),3,Leave-one-out,2,AUC,0.900680219037217
9,9,sorlie,85,456,RFE_wrapper,GaussianNB(),3,Leave-one-out,2,AUC,0.633362310441418
10,10,sorlie,85,456,relieff_wrapper,GaussianNB(),3,Leave-one-out,2,AUC,0.678383170244225
11,11,sorlie,85,456,relaxed_lasso_wrapper,GaussianNB(),3,Leave-one-out,2,AUC,
12,12,sorlie,85,456,f_classif_wrapper,GaussianNB(),4,Leave-one-out,2,AUC,0.9103904293813017
13,13,sorlie,85,456,RFE_wrapper,GaussianNB(),4,Leave-one-out,2,AUC,0.7682527918329136
14,14,sorlie,85,456,relieff_wrapper,GaussianNB(),4,Leave-one-out,2,AUC,0.7249714872686475
15,15,sorlie,85,456,relaxed_lasso_wrapper,GaussianNB(),4,Leave-one-out,2,AUC,
16,16,sorlie,85,456,f_classif_wrapper,GaussianNB(),5,Leave-one-out,2,AUC,0.9090194963927216
17,17,sorlie,85,456,RFE_wrapper,GaussianNB(),5,Leave-one-out,2,AUC,0.775063991113687
18,18,sorlie,85,456,relieff_wrapper,GaussianNB(),5,Leave-one-out,2,AUC,0.7321258609544614
19,19,sorlie,85,456,relaxed_lasso_wrapper,GaussianNB(),5,Leave-one-out,2,AUC,
20,20,sorlie,85,456,f_classif_wrapper,GaussianNB(),10,Leave-one-out,2,AUC,0.8838901210351515
21,21,sorlie,85,456,RFE_wrapper,GaussianNB(),10,Leave-one-out,2,AUC,0.7788135545995586
22,22,sorlie,85,456,relieff_wrapper,GaussianNB(),10,Leave-one-out,2,AUC,0.7820755225166991
23,23,sorlie,85,456,relaxed_lasso_wrapper,GaussianNB(),10,Leave-one-out,2,AUC,
24,24,sorlie,85,456,f_classif_wrapper,GaussianNB(),20,Leave-one-out,2,AUC,0.896546058741799
25,25,sorlie,85,456,RFE_wrapper,GaussianNB(),20,Leave-one-out,2,AUC,0.8091876936450972
26,26,sorlie,85,456,relieff_wrapper,GaussianNB(),20,Leave-one-out,2,AUC,0.798888003477253
27,27,sorlie,85,456,relaxed_lasso_wrapper,GaussianNB(),20,Leave-one-out,2,AUC,
28,28,sorlie,85,456,f_classif_wrapper,GaussianNB(),50,Leave-one-out,2,AUC,0.9043187036087645
29,29,sorlie,85,456,RFE_wrapper,GaussianNB(),50,Leave-one-out,2,AUC,0.7930476301926607
30,30,sorlie,85,456,relieff_wrapper,GaussianNB(),50,Leave-one-out,2,AUC,0.8519210336654556
31,31,sorlie,85,456,relaxed_lasso_wrapper,GaussianNB(),50,Leave-one-out,2,AUC,
32,32,sorlie,85,456,f_classif_wrapper,GaussianNB(),100,Leave-one-out,2,AUC,0.9039031793088589
33,33,sorlie,85,456,RFE_wrapper,GaussianNB(),100,Leave-one-out,2,AUC,0.7803456727518594
34,34,sorlie,85,456,relieff_wrapper,GaussianNB(),100,Leave-one-out,2,AUC,0.8676873667238779
35,35,sorlie,85,456,relaxed_lasso_wrapper,GaussianNB(),100,Leave-one-out,2,AUC,
36,36,sorlie,85,456,f_classif_wrapper,SVC(),1,Leave-one-out,2,AUC,0.8248329172517814
37,37,sorlie,85,456,RFE_wrapper,SVC(),1,Leave-one-out,2,AUC,0.5978999491043102
38,38,sorlie,85,456,relieff_wrapper,SVC(),1,Leave-one-out,2,AUC,0.672815153913024
39,39,sorlie,85,456,relaxed_lasso_wrapper,SVC(),1,Leave-one-out,2,AUC,
40,40,sorlie,85,456,f_classif_wrapper,SVC(),2,Leave-one-out,2,AUC,0.8714309861875785
41,41,sorlie,85,456,RFE_wrapper,SVC(),2,Leave-one-out,2,AUC,0.5411219527598838
42,42,sorlie,85,456,relieff_wrapper,SVC(),2,Leave-one-out,2,AUC,0.6982464205841488
43,43,sorlie,85,456,relaxed_lasso_wrapper,SVC(),2,Leave-one-out,2,AUC,
44,44,sorlie,85,456,f_classif_wrapper,SVC(),3,Leave-one-out,2,AUC,0.9075923738195544
45,45,sorlie,85,456,RFE_wrapper,SVC(),3,Leave-one-out,2,AUC,0.532708746628625
46,46,sorlie,85,456,relieff_wrapper,SVC(),3,Leave-one-out,2,AUC,0.7118883229684447
47,47,sorlie,85,456,relaxed_lasso_wrapper,SVC(),3,Leave-one-out,2,AUC,
48,48,sorlie,85,456,f_classif_wrapper,SVC(),4,Leave-one-out,2,AUC,0.9186142626811998
49,49,sorlie,85,456,RFE_wrapper,SVC(),4,Leave-one-out,2,AUC,0.623507121681564
50,50,sorlie,85,456,relieff_wrapper,SVC(),4,Leave-one-out,2,AUC,0.7274138302535869
51,51,sorlie,85,456,relaxed_lasso_wrapper,SVC(),4,Leave-one-out,2,AUC,
52,52,sorlie,85,456,f_classif_wrapper,SVC(),5,Leave-one-out,2,AUC,0.9117720430347205
53,53,sorlie,85,456,RFE_wrapper,SVC(),5,Leave-one-out,2,AUC,0.6141512307840908
54,54,sorlie,85,456,relieff_wrapper,SVC(),5,Leave-one-out,2,AUC,0.7798975956430318
55,55,sorlie,85,456,relaxed_lasso_wrapper,SVC(),5,Leave-one-out,2,AUC,
56,56,sorlie,85,456,f_classif_wrapper,SVC(),10,Leave-one-out,2,AUC,0.938178454405635
57,57,sorlie,85,456,RFE_wrapper,SVC(),10,Leave-one-out,2,AUC,0.7254568538290649
58,58,sorlie,85,456,relieff_wrapper,SVC(),10,Leave-one-out,2,AUC,0.7588662520711202
59,59,sorlie,85,456,relaxed_lasso_wrapper,SVC(),10,Leave-one-out,2,AUC,
60,60,sorlie,85,456,f_classif_wrapper,SVC(),20,Leave-one-out,2,AUC,0.9513413057530704
61,61,sorlie,85,456,RFE_wrapper,SVC(),20,Leave-one-out,2,AUC,0.793311024675122
62,62,sorlie,85,456,relieff_wrapper,SVC(),20,Leave-one-out,2,AUC,0.8592251224097065
63,63,sorlie,85,456,relaxed_lasso_wrapper,SVC(),20,Leave-one-out,2,AUC,
64,64,sorlie,85,456,f_classif_wrapper,SVC(),50,Leave-one-out,2,AUC,0.960991425748018
65,65,sorlie,85,456,RFE_wrapper,SVC(),50,Leave-one-out,2,AUC,0.8774734562259917
66,66,sorlie,85,456,relieff_wrapper,SVC(),50,Leave-one-out,2,AUC,0.9203712784848688
67,67,sorlie,85,456,relaxed_lasso_wrapper,SVC(),50,Leave-one-out,2,AUC,
68,68,sorlie,85,456,f_classif_wrapper,SVC(),100,Leave-one-out,2,AUC,0.9613261484965339
69,69,sorlie,85,456,RFE_wrapper,SVC(),100,Leave-one-out,2,AUC,0.9246552467140702
70,70,sorlie,85,456,relieff_wrapper,SVC(),100,Leave-one-out,2,AUC,0.9706986640810171
71,71,sorlie,85,456,relaxed_lasso_wrapper,SVC(),100,Leave-one-out,2,AUC,
72,72,sorlie,85,456,f_classif_wrapper,RandomForestClassifier(),1,Leave-one-out,2,AUC,0.8829402384295894
73,73,sorlie,85,456,RFE_wrapper,RandomForestClassifier(),1,Leave-one-out,2,AUC,0.5484304995207632
74,74,sorlie,85,456,relieff_wrapper,RandomForestClassifier(),1,Leave-one-out,2,AUC,0.6461993550735944
75,75,sorlie,85,456,relaxed_lasso_wrapper,RandomForestClassifier(),1,Leave-one-out,2,AUC,
76,76,sorlie,85,456,f_classif_wrapper,RandomForestClassifier(),2,Leave-one-out,2,AUC,0.8665391488160251
77,77,sorlie,85,456,RFE_wrapper,RandomForestClassifier(),2,Leave-one-out,2,AUC,0.6145998187073238
78,78,sorlie,85,456,relieff_wrapper,RandomForestClassifier(),2,Leave-one-out,2,AUC,0.6916490203508459
79,79,sorlie,85,456,relaxed_lasso_wrapper,RandomForestClassifier(),2,Leave-one-out,2,AUC,
80,80,sorlie,85,456,f_classif_wrapper,RandomForestClassifier(),3,Leave-one-out,2,AUC,0.8858541559860018
81,81,sorlie,85,456,RFE_wrapper,RandomForestClassifier(),3,Leave-one-out,2,AUC,0.6575322834704174
82,82,sorlie,85,456,relieff_wrapper,RandomForestClassifier(),3,Leave-one-out,2,AUC,0.7208444783749044
83,83,sorlie,85,456,relaxed_lasso_wrapper,RandomForestClassifier(),3,Leave-one-out,2,AUC,
84,84,sorlie,85,456,f_classif_wrapper,RandomForestClassifier(),4,Leave-one-out,2,AUC,0.9002972939839066
85,85,sorlie,85,456,RFE_wrapper,RandomForestClassifier(),4,Leave-one-out,2,AUC,0.7167413384451924
86,86,sorlie,85,456,relieff_wrapper,RandomForestClassifier(),4,Leave-one-out,2,AUC,0.7569342591147865
87,87,sorlie,85,456,relaxed_lasso_wrapper,RandomForestClassifier(),4,Leave-one-out,2,AUC,
88,88,sorlie,85,456,f_classif_wrapper,RandomForestClassifier(),5,Leave-one-out,2,AUC,0.9008889099406341
89,89,sorlie,85,456,RFE_wrapper,RandomForestClassifier(),5,Leave-one-out,2,AUC,0.7598939177793133
90,90,sorlie,85,456,relieff_wrapper,RandomForestClassifier(),5,Leave-one-out,2,AUC,0.7598360564384905
91,91,sorlie,85,456,relaxed_lasso_wrapper,RandomForestClassifier(),5,Leave-one-out,2,AUC,
92,92,sorlie,85,456,f_classif_wrapper,RandomForestClassifier(),10,Leave-one-out,2,AUC,0.9397770248683028
93,93,sorlie,85,456,RFE_wrapper,RandomForestClassifier(),10,Leave-one-out,2,AUC,0.7522331877047903
94,94,sorlie,85,456,relieff_wrapper,RandomForestClassifier(),10,Leave-one-out,2,AUC,0.7885776326445697
95,95,sorlie,85,456,relaxed_lasso_wrapper,RandomForestClassifier(),10,Leave-one-out,2,AUC,
96,96,sorlie,85,456,f_classif_wrapper,RandomForestClassifier(),20,Leave-one-out,2,AUC,0.9512248400686534
