,index,Dataset Name,Number of samples,Original Number of features,Filtering Algorithm,Learning algorithm,Number of features selected (K),CV Method,Fold,Measure Type,Measure Value
0,0,subramanian,50,10100,f_classif_wrapper,GaussianNB(),1,Leave-one-out,2,MCC,-0.010292133064719128
1,1,subramanian,50,10100,RFE_wrapper,GaussianNB(),1,Leave-one-out,2,MCC,0.0
2,2,subramanian,50,10100,relieff_wrapper,GaussianNB(),1,Leave-one-out,2,MCC,-0.010292133064719128
3,3,subramanian,50,10100,relaxed_lasso_wrapper,GaussianNB(),1,Leave-one-out,2,MCC,-0.14863536695554436
4,4,subramanian,50,10100,f_classif_wrapper,GaussianNB(),2,Leave-one-out,2,MCC,0.0
5,5,subramanian,50,10100,RFE_wrapper,GaussianNB(),2,Leave-one-out,2,MCC,-0.02727723627949905
6,6,subramanian,50,10100,relieff_wrapper,GaussianNB(),2,Leave-one-out,2,MCC,-0.07862136275414387
7,7,subramanian,50,10100,relaxed_lasso_wrapper,GaussianNB(),2,Leave-one-out,2,MCC,-0.07862136275414387
8,8,subramanian,50,10100,f_classif_wrapper,GaussianNB(),3,Leave-one-out,2,MCC,-0.025125945381480302
9,9,subramanian,50,10100,RFE_wrapper,GaussianNB(),3,Leave-one-out,2,MCC,0.051031036307982884
10,10,subramanian,50,10100,relieff_wrapper,GaussianNB(),3,Leave-one-out,2,MCC,0.02727723627949905
11,11,subramanian,50,10100,relaxed_lasso_wrapper,GaussianNB(),3,Leave-one-out,2,MCC,-0.16573890324326376
12,12,subramanian,50,10100,f_classif_wrapper,GaussianNB(),4,Leave-one-out,2,MCC,-0.125
13,13,subramanian,50,10100,RFE_wrapper,GaussianNB(),4,Leave-one-out,2,MCC,0.125
14,14,subramanian,50,10100,relieff_wrapper,GaussianNB(),4,Leave-one-out,2,MCC,0.02727723627949905
15,15,subramanian,50,10100,relaxed_lasso_wrapper,GaussianNB(),4,Leave-one-out,2,MCC,-0.13983381231676117
16,16,subramanian,50,10100,f_classif_wrapper,GaussianNB(),5,Leave-one-out,2,MCC,-0.15075567228888181
17,17,subramanian,50,10100,RFE_wrapper,GaussianNB(),5,Leave-one-out,2,MCC,0.0
18,18,subramanian,50,10100,relieff_wrapper,GaussianNB(),5,Leave-one-out,2,MCC,-0.03125
19,19,subramanian,50,10100,relaxed_lasso_wrapper,GaussianNB(),5,Leave-one-out,2,MCC,-0.051031036307982884
20,20,subramanian,50,10100,f_classif_wrapper,GaussianNB(),10,Leave-one-out,2,MCC,0.1636634176769943
21,21,subramanian,50,10100,RFE_wrapper,GaussianNB(),10,Leave-one-out,2,MCC,0.051031036307982884
22,22,subramanian,50,10100,relieff_wrapper,GaussianNB(),10,Leave-one-out,2,MCC,-0.14433756729740643
23,23,subramanian,50,10100,relaxed_lasso_wrapper,GaussianNB(),10,Leave-one-out,2,MCC,-0.025125945381480302
24,24,subramanian,50,10100,f_classif_wrapper,GaussianNB(),20,Leave-one-out,2,MCC,0.02727723627949905
25,25,subramanian,50,10100,RFE_wrapper,GaussianNB(),20,Leave-one-out,2,MCC,0.06229362509918496
26,26,subramanian,50,10100,relieff_wrapper,GaussianNB(),20,Leave-one-out,2,MCC,0.14433756729740643
27,27,subramanian,50,10100,relaxed_lasso_wrapper,GaussianNB(),20,Leave-one-out,2,MCC,0.052414241836095915
28,28,subramanian,50,10100,f_classif_wrapper,GaussianNB(),50,Leave-one-out,2,MCC,0.1636634176769943
29,29,subramanian,50,10100,RFE_wrapper,GaussianNB(),50,Leave-one-out,2,MCC,0.03816131247330655
30,30,subramanian,50,10100,relieff_wrapper,GaussianNB(),50,Leave-one-out,2,MCC,0.14433756729740643
31,31,subramanian,50,10100,relaxed_lasso_wrapper,GaussianNB(),50,Leave-one-out,2,MCC,-0.1091089451179962
32,32,subramanian,50,10100,f_classif_wrapper,GaussianNB(),100,Leave-one-out,2,MCC,0.14433756729740643
33,33,subramanian,50,10100,RFE_wrapper,GaussianNB(),100,Leave-one-out,2,MCC,0.07862136275414387
34,34,subramanian,50,10100,relieff_wrapper,GaussianNB(),100,Leave-one-out,2,MCC,0.14433756729740643
35,35,subramanian,50,10100,relaxed_lasso_wrapper,GaussianNB(),100,Leave-one-out,2,MCC,0.025125945381480302
36,36,subramanian,50,10100,f_classif_wrapper,SVC(),1,Leave-one-out,2,MCC,-0.125
37,37,subramanian,50,10100,RFE_wrapper,SVC(),1,Leave-one-out,2,MCC,0.0
38,38,subramanian,50,10100,relieff_wrapper,SVC(),1,Leave-one-out,2,MCC,-0.125
39,39,subramanian,50,10100,relaxed_lasso_wrapper,SVC(),1,Leave-one-out,2,MCC,0.02727723627949905
40,40,subramanian,50,10100,f_classif_wrapper,SVC(),2,Leave-one-out,2,MCC,0.0
41,41,subramanian,50,10100,RFE_wrapper,SVC(),2,Leave-one-out,2,MCC,0.051031036307982884
42,42,subramanian,50,10100,relieff_wrapper,SVC(),2,Leave-one-out,2,MCC,-0.1091089451179962
43,43,subramanian,50,10100,relaxed_lasso_wrapper,SVC(),2,Leave-one-out,2,MCC,-0.051031036307982884
44,44,subramanian,50,10100,f_classif_wrapper,SVC(),3,Leave-one-out,2,MCC,-0.051031036307982884
45,45,subramanian,50,10100,RFE_wrapper,SVC(),3,Leave-one-out,2,MCC,0.025125945381480302
46,46,subramanian,50,10100,relieff_wrapper,SVC(),3,Leave-one-out,2,MCC,-0.11470786693528087
47,47,subramanian,50,10100,relaxed_lasso_wrapper,SVC(),3,Leave-one-out,2,MCC,-0.025125945381480302
48,48,subramanian,50,10100,f_classif_wrapper,SVC(),4,Leave-one-out,2,MCC,-0.07654655446197432
49,49,subramanian,50,10100,RFE_wrapper,SVC(),4,Leave-one-out,2,MCC,0.15075567228888181
50,50,subramanian,50,10100,relieff_wrapper,SVC(),4,Leave-one-out,2,MCC,-0.051031036307982884
51,51,subramanian,50,10100,relaxed_lasso_wrapper,SVC(),4,Leave-one-out,2,MCC,0.02727723627949905
52,52,subramanian,50,10100,f_classif_wrapper,SVC(),5,Leave-one-out,2,MCC,-0.10050378152592121
53,53,subramanian,50,10100,RFE_wrapper,SVC(),5,Leave-one-out,2,MCC,0.0
54,54,subramanian,50,10100,relieff_wrapper,SVC(),5,Leave-one-out,2,MCC,-0.051031036307982884
55,55,subramanian,50,10100,relaxed_lasso_wrapper,SVC(),5,Leave-one-out,2,MCC,0.02727723627949905
56,56,subramanian,50,10100,f_classif_wrapper,SVC(),10,Leave-one-out,2,MCC,0.15075567228888181
57,57,subramanian,50,10100,RFE_wrapper,SVC(),10,Leave-one-out,2,MCC,0.15075567228888181
58,58,subramanian,50,10100,relieff_wrapper,SVC(),10,Leave-one-out,2,MCC,-0.051031036307982884
59,59,subramanian,50,10100,relaxed_lasso_wrapper,SVC(),10,Leave-one-out,2,MCC,0.25904543423268733
60,60,subramanian,50,10100,f_classif_wrapper,SVC(),20,Leave-one-out,2,MCC,0.15075567228888181
61,61,subramanian,50,10100,RFE_wrapper,SVC(),20,Leave-one-out,2,MCC,0.1091089451179962
62,62,subramanian,50,10100,relieff_wrapper,SVC(),20,Leave-one-out,2,MCC,0.052414241836095915
63,63,subramanian,50,10100,relaxed_lasso_wrapper,SVC(),20,Leave-one-out,2,MCC,0.08958192155380057
64,64,subramanian,50,10100,f_classif_wrapper,SVC(),50,Leave-one-out,2,MCC,0.1636634176769943
65,65,subramanian,50,10100,RFE_wrapper,SVC(),50,Leave-one-out,2,MCC,0.25
66,66,subramanian,50,10100,relieff_wrapper,SVC(),50,Leave-one-out,2,MCC,0.18344984642633572
67,67,subramanian,50,10100,relaxed_lasso_wrapper,SVC(),50,Leave-one-out,2,MCC,0.052414241836095915
68,68,subramanian,50,10100,f_classif_wrapper,SVC(),100,Leave-one-out,2,MCC,0.10050378152592121
69,69,subramanian,50,10100,RFE_wrapper,SVC(),100,Leave-one-out,2,MCC,0.051031036307982884
70,70,subramanian,50,10100,relieff_wrapper,SVC(),100,Leave-one-out,2,MCC,0.125
71,71,subramanian,50,10100,relaxed_lasso_wrapper,SVC(),100,Leave-one-out,2,MCC,0.052414241836095915
72,72,subramanian,50,10100,f_classif_wrapper,RandomForestClassifier(),1,Leave-one-out,2,MCC,0.1671221087713768
73,73,subramanian,50,10100,RFE_wrapper,RandomForestClassifier(),1,Leave-one-out,2,MCC,0.0
74,74,subramanian,50,10100,relieff_wrapper,RandomForestClassifier(),1,Leave-one-out,2,MCC,0.1671221087713768
75,75,subramanian,50,10100,relaxed_lasso_wrapper,RandomForestClassifier(),1,Leave-one-out,2,MCC,-0.12242824603749641
76,76,subramanian,50,10100,f_classif_wrapper,RandomForestClassifier(),2,Leave-one-out,2,MCC,0.025125945381480302
77,77,subramanian,50,10100,RFE_wrapper,RandomForestClassifier(),2,Leave-one-out,2,MCC,0.0
78,78,subramanian,50,10100,relieff_wrapper,RandomForestClassifier(),2,Leave-one-out,2,MCC,-0.051031036307982884
79,79,subramanian,50,10100,relaxed_lasso_wrapper,RandomForestClassifier(),2,Leave-one-out,2,MCC,-0.04273676792190145
80,80,subramanian,50,10100,f_classif_wrapper,RandomForestClassifier(),3,Leave-one-out,2,MCC,0.02727723627949905
81,81,subramanian,50,10100,RFE_wrapper,RandomForestClassifier(),3,Leave-one-out,2,MCC,0.0
82,82,subramanian,50,10100,relieff_wrapper,RandomForestClassifier(),3,Leave-one-out,2,MCC,-0.051031036307982884
83,83,subramanian,50,10100,relaxed_lasso_wrapper,RandomForestClassifier(),3,Leave-one-out,2,MCC,0.02727723627949905
84,84,subramanian,50,10100,f_classif_wrapper,RandomForestClassifier(),4,Leave-one-out,2,MCC,0.0
85,85,subramanian,50,10100,RFE_wrapper,RandomForestClassifier(),4,Leave-one-out,2,MCC,0.02727723627949905
86,86,subramanian,50,10100,relieff_wrapper,RandomForestClassifier(),4,Leave-one-out,2,MCC,0.0
87,87,subramanian,50,10100,relaxed_lasso_wrapper,RandomForestClassifier(),4,Leave-one-out,2,MCC,-0.14863536695554436
88,88,subramanian,50,10100,f_classif_wrapper,RandomForestClassifier(),5,Leave-one-out,2,MCC,-0.125
89,89,subramanian,50,10100,RFE_wrapper,RandomForestClassifier(),5,Leave-one-out,2,MCC,-0.07862136275414387
90,90,subramanian,50,10100,relieff_wrapper,RandomForestClassifier(),5,Leave-one-out,2,MCC,-0.15075567228888181
91,91,subramanian,50,10100,relaxed_lasso_wrapper,RandomForestClassifier(),5,Leave-one-out,2,MCC,-0.22381681205327708
92,92,subramanian,50,10100,f_classif_wrapper,RandomForestClassifier(),10,Leave-one-out,2,MCC,0.052414241836095915
93,93,subramanian,50,10100,RFE_wrapper,RandomForestClassifier(),10,Leave-one-out,2,MCC,-0.025125945381480302
94,94,subramanian,50,10100,relieff_wrapper,RandomForestClassifier(),10,Leave-one-out,2,MCC,-0.025125945381480302
95,95,subramanian,50,10100,relaxed_lasso_wrapper,RandomForestClassifier(),10,Leave-one-out,2,MCC,0.125
96,96,subramanian,50,10100,f_classif_wrapper,RandomForestClassifier(),20,Leave-one-out,2,MCC,-0.051031036307982884
97,97,subramanian,50,10100,RFE_wrapper,RandomForestClassifier(),20,Leave-one-out,2,MCC,0.1786086270779401
98,98,subramanian,50,10100,relieff_wrapper,RandomForestClassifier(),20,Leave-one-out,2,MCC,0.052414241836095915
99,99,subramanian,50,10100,relaxed_lasso_wrapper,RandomForestClassifier(),20,Leave-one-out,2,MCC,0.125
100,100,subramanian,50,10100,f_classif_wrapper,RandomForestClassifier(),50,Leave-one-out,2,MCC,0.20412414523193154
101,101,subramanian,50,10100,RFE_wrapper,RandomForestClassifier(),50,Leave-one-out,2,MCC,-0.07654655446197432
102,102,subramanian,50,10100,relieff_wrapper,RandomForestClassifier(),50,Leave-one-out,2,MCC,0.07654655446197432
103,103,subramanian,50,10100,relaxed_lasso_wrapper,RandomForestClassifier(),50,Leave-one-out,2,MCC,0.125
104,104,subramanian,50,10100,f_classif_wrapper,RandomForestClassifier(),100,Leave-one-out,2,MCC,0.1636634176769943
105,105,subramanian,50,10100,RFE_wrapper,RandomForestClassifier(),100,Leave-one-out,2,MCC,0.10050378152592121
106,106,subramanian,50,10100,relieff_wrapper,RandomForestClassifier(),100,Leave-one-out,2,MCC,0.18344984642633572
107,107,subramanian,50,10100,relaxed_lasso_wrapper,RandomForestClassifier(),100,Leave-one-out,2,MCC,0.0
108,108,subramanian,50,10100,f_classif_wrapper,LogisticRegression(),1,Leave-one-out,2,MCC,-0.125
