,index,Dataset Name,Number of samples,Original Number of features,Filtering Algorithm,Learning algorithm,Number of features selected (K),CV Method,Fold,Measure Type,Measure Value
0,0,subramanian,50,10100,f_classif_wrapper,GaussianNB(),1,Leave-one-out,2,AUC,0.434375
1,1,subramanian,50,10100,RFE_wrapper,GaussianNB(),1,Leave-one-out,2,AUC,0.5375
2,2,subramanian,50,10100,relieff_wrapper,GaussianNB(),1,Leave-one-out,2,AUC,0.434375
3,3,subramanian,50,10100,relaxed_lasso_wrapper,GaussianNB(),1,Leave-one-out,2,AUC,0.4915625
4,4,subramanian,50,10100,f_classif_wrapper,GaussianNB(),2,Leave-one-out,2,AUC,0.440625
5,5,subramanian,50,10100,RFE_wrapper,GaussianNB(),2,Leave-one-out,2,AUC,0.369375
6,6,subramanian,50,10100,relieff_wrapper,GaussianNB(),2,Leave-one-out,2,AUC,0.409375
7,7,subramanian,50,10100,relaxed_lasso_wrapper,GaussianNB(),2,Leave-one-out,2,AUC,0.5059374999999999
8,8,subramanian,50,10100,f_classif_wrapper,GaussianNB(),3,Leave-one-out,2,AUC,0.429375
9,9,subramanian,50,10100,RFE_wrapper,GaussianNB(),3,Leave-one-out,2,AUC,0.480625
10,10,subramanian,50,10100,relieff_wrapper,GaussianNB(),3,Leave-one-out,2,AUC,0.425
11,11,subramanian,50,10100,relaxed_lasso_wrapper,GaussianNB(),3,Leave-one-out,2,AUC,0.4925
12,12,subramanian,50,10100,f_classif_wrapper,GaussianNB(),4,Leave-one-out,2,AUC,0.4503125
13,13,subramanian,50,10100,RFE_wrapper,GaussianNB(),4,Leave-one-out,2,AUC,0.541875
14,14,subramanian,50,10100,relieff_wrapper,GaussianNB(),4,Leave-one-out,2,AUC,0.43937499999999996
15,15,subramanian,50,10100,relaxed_lasso_wrapper,GaussianNB(),4,Leave-one-out,2,AUC,0.5315624999999999
16,16,subramanian,50,10100,f_classif_wrapper,GaussianNB(),5,Leave-one-out,2,AUC,0.4246875
17,17,subramanian,50,10100,RFE_wrapper,GaussianNB(),5,Leave-one-out,2,AUC,0.4946875
18,18,subramanian,50,10100,relieff_wrapper,GaussianNB(),5,Leave-one-out,2,AUC,0.49062500000000003
19,19,subramanian,50,10100,relaxed_lasso_wrapper,GaussianNB(),5,Leave-one-out,2,AUC,0.50875
20,20,subramanian,50,10100,f_classif_wrapper,GaussianNB(),10,Leave-one-out,2,AUC,0.6865625
21,21,subramanian,50,10100,RFE_wrapper,GaussianNB(),10,Leave-one-out,2,AUC,0.6746875
22,22,subramanian,50,10100,relieff_wrapper,GaussianNB(),10,Leave-one-out,2,AUC,0.474375
23,23,subramanian,50,10100,relaxed_lasso_wrapper,GaussianNB(),10,Leave-one-out,2,AUC,0.5775000000000001
24,24,subramanian,50,10100,f_classif_wrapper,GaussianNB(),20,Leave-one-out,2,AUC,0.586875
25,25,subramanian,50,10100,RFE_wrapper,GaussianNB(),20,Leave-one-out,2,AUC,0.491875
26,26,subramanian,50,10100,relieff_wrapper,GaussianNB(),20,Leave-one-out,2,AUC,0.5353125
27,27,subramanian,50,10100,relaxed_lasso_wrapper,GaussianNB(),20,Leave-one-out,2,AUC,0.48906249999999996
