,index,Dataset Name,Number of samples,Original Number of features,Filtering Algorithm,Learning algorithm,Number of features selected (K),CV Method,Fold,Measure Type,Measure Value
0,0,subramanian,50,10100,f_classif_wrapper,GaussianNB(),1,Leave-one-out,2,PR-AUC,0.47500000000000003
1,1,subramanian,50,10100,RFE_wrapper,GaussianNB(),1,Leave-one-out,2,PR-AUC,0.65
2,2,subramanian,50,10100,relieff_wrapper,GaussianNB(),1,Leave-one-out,2,PR-AUC,0.47500000000000003
3,3,subramanian,50,10100,relaxed_lasso_wrapper,GaussianNB(),1,Leave-one-out,2,PR-AUC,0.4
4,4,subramanian,50,10100,f_classif_wrapper,GaussianNB(),2,Leave-one-out,2,PR-AUC,0.5
5,5,subramanian,50,10100,RFE_wrapper,GaussianNB(),2,Leave-one-out,2,PR-AUC,0.55
6,6,subramanian,50,10100,relieff_wrapper,GaussianNB(),2,Leave-one-out,2,PR-AUC,0.425
7,7,subramanian,50,10100,relaxed_lasso_wrapper,GaussianNB(),2,Leave-one-out,2,PR-AUC,0.425
8,8,subramanian,50,10100,f_classif_wrapper,GaussianNB(),3,Leave-one-out,2,PR-AUC,0.475
9,9,subramanian,50,10100,RFE_wrapper,GaussianNB(),3,Leave-one-out,2,PR-AUC,0.55
10,10,subramanian,50,10100,relieff_wrapper,GaussianNB(),3,Leave-one-out,2,PR-AUC,0.45
11,11,subramanian,50,10100,relaxed_lasso_wrapper,GaussianNB(),3,Leave-one-out,2,PR-AUC,0.42500000000000004
12,12,subramanian,50,10100,f_classif_wrapper,GaussianNB(),4,Leave-one-out,2,PR-AUC,0.45
13,13,subramanian,50,10100,RFE_wrapper,GaussianNB(),4,Leave-one-out,2,PR-AUC,0.55
14,14,subramanian,50,10100,relieff_wrapper,GaussianNB(),4,Leave-one-out,2,PR-AUC,0.45
15,15,subramanian,50,10100,relaxed_lasso_wrapper,GaussianNB(),4,Leave-one-out,2,PR-AUC,0.45
16,16,subramanian,50,10100,f_classif_wrapper,GaussianNB(),5,Leave-one-out,2,PR-AUC,0.425
17,17,subramanian,50,10100,RFE_wrapper,GaussianNB(),5,Leave-one-out,2,PR-AUC,0.5
18,18,subramanian,50,10100,relieff_wrapper,GaussianNB(),5,Leave-one-out,2,PR-AUC,0.4
19,19,subramanian,50,10100,relaxed_lasso_wrapper,GaussianNB(),5,Leave-one-out,2,PR-AUC,0.45
20,20,subramanian,50,10100,f_classif_wrapper,GaussianNB(),10,Leave-one-out,2,PR-AUC,0.5
21,21,subramanian,50,10100,RFE_wrapper,GaussianNB(),10,Leave-one-out,2,PR-AUC,0.55
22,22,subramanian,50,10100,relieff_wrapper,GaussianNB(),10,Leave-one-out,2,PR-AUC,0.375
23,23,subramanian,50,10100,relaxed_lasso_wrapper,GaussianNB(),10,Leave-one-out,2,PR-AUC,0.475
24,24,subramanian,50,10100,f_classif_wrapper,GaussianNB(),20,Leave-one-out,2,PR-AUC,0.45
25,25,subramanian,50,10100,RFE_wrapper,GaussianNB(),20,Leave-one-out,2,PR-AUC,0.55
26,26,subramanian,50,10100,relieff_wrapper,GaussianNB(),20,Leave-one-out,2,PR-AUC,0.475
27,27,subramanian,50,10100,relaxed_lasso_wrapper,GaussianNB(),20,Leave-one-out,2,PR-AUC,0.475
28,28,subramanian,50,10100,f_classif_wrapper,GaussianNB(),50,Leave-one-out,2,PR-AUC,0.5
29,29,subramanian,50,10100,RFE_wrapper,GaussianNB(),50,Leave-one-out,2,PR-AUC,0.525
30,30,subramanian,50,10100,relieff_wrapper,GaussianNB(),50,Leave-one-out,2,PR-AUC,0.475
31,31,subramanian,50,10100,relaxed_lasso_wrapper,GaussianNB(),50,Leave-one-out,2,PR-AUC,0.4
32,32,subramanian,50,10100,f_classif_wrapper,GaussianNB(),100,Leave-one-out,2,PR-AUC,0.475
33,33,subramanian,50,10100,RFE_wrapper,GaussianNB(),100,Leave-one-out,2,PR-AUC,0.575
34,34,subramanian,50,10100,relieff_wrapper,GaussianNB(),100,Leave-one-out,2,PR-AUC,0.475
35,35,subramanian,50,10100,relaxed_lasso_wrapper,GaussianNB(),100,Leave-one-out,2,PR-AUC,0.525
