,index,Dataset Name,Number of samples,Original Number of features,Filtering Algorithm,Learning algorithm,Number of features selected (K),CV Method,Fold,Measure Type,Measure Value
0,0,khan,63,2308,f_classif_wrapper,GaussianNB(),1,Leave-one-out,2,MCC,0.38600514803543773
1,1,khan,63,2308,RFE_wrapper,GaussianNB(),1,Leave-one-out,2,MCC,0.0033852710867561323
2,2,khan,63,2308,relieff_wrapper,GaussianNB(),1,Leave-one-out,2,MCC,0.2026150023892851
3,3,khan,63,2308,relaxed_lasso_wrapper,GaussianNB(),1,Leave-one-out,2,MCC,0.0761854104308259
4,4,khan,63,2308,f_classif_wrapper,GaussianNB(),2,Leave-one-out,2,MCC,0.5798294555451207
5,5,khan,63,2308,RFE_wrapper,GaussianNB(),2,Leave-one-out,2,MCC,0.07751329297843153
6,6,khan,63,2308,relieff_wrapper,GaussianNB(),2,Leave-one-out,2,MCC,0.28117863285816197
7,7,khan,63,2308,relaxed_lasso_wrapper,GaussianNB(),2,Leave-one-out,2,MCC,0.27353362680161925
8,8,khan,63,2308,f_classif_wrapper,GaussianNB(),3,Leave-one-out,2,MCC,0.696440251296299
9,9,khan,63,2308,RFE_wrapper,GaussianNB(),3,Leave-one-out,2,MCC,0.14788985743055666
10,10,khan,63,2308,relieff_wrapper,GaussianNB(),3,Leave-one-out,2,MCC,0.5388667622599573
11,11,khan,63,2308,relaxed_lasso_wrapper,GaussianNB(),3,Leave-one-out,2,MCC,0.22521241071826933
12,12,khan,63,2308,f_classif_wrapper,GaussianNB(),4,Leave-one-out,2,MCC,0.7596113127221795
13,13,khan,63,2308,RFE_wrapper,GaussianNB(),4,Leave-one-out,2,MCC,0.14579480173675213
14,14,khan,63,2308,relieff_wrapper,GaussianNB(),4,Leave-one-out,2,MCC,0.5649526759217574
15,15,khan,63,2308,relaxed_lasso_wrapper,GaussianNB(),4,Leave-one-out,2,MCC,0.22068135707069106
16,16,khan,63,2308,f_classif_wrapper,GaussianNB(),5,Leave-one-out,2,MCC,0.7028876411675414
17,17,khan,63,2308,RFE_wrapper,GaussianNB(),5,Leave-one-out,2,MCC,0.2211855291379013
18,18,khan,63,2308,relieff_wrapper,GaussianNB(),5,Leave-one-out,2,MCC,0.5294348939496389
19,19,khan,63,2308,relaxed_lasso_wrapper,GaussianNB(),5,Leave-one-out,2,MCC,0.25670225356779236
20,20,khan,63,2308,f_classif_wrapper,GaussianNB(),10,Leave-one-out,2,MCC,0.6037190912080097
21,21,khan,63,2308,RFE_wrapper,GaussianNB(),10,Leave-one-out,2,MCC,0.34843441987572554
22,22,khan,63,2308,relieff_wrapper,GaussianNB(),10,Leave-one-out,2,MCC,0.501259326051493
