,index,Dataset Name,Number of samples,Original Number of features,Filtering Algorithm,Learning algorithm,Number of features selected (K),CV Method,Fold,Measure Type,Measure Value
0,0,khan,63,2308,f_classif_wrapper,GaussianNB(),1,Leave-one-out,2,AUC,0.8104210650628741
1,1,khan,63,2308,RFE_wrapper,GaussianNB(),1,Leave-one-out,2,AUC,0.5217587217676058
2,2,khan,63,2308,relieff_wrapper,GaussianNB(),1,Leave-one-out,2,AUC,0.6978645540457359
3,3,khan,63,2308,relaxed_lasso_wrapper,GaussianNB(),1,Leave-one-out,2,AUC,0.5238802881807324
4,4,khan,63,2308,f_classif_wrapper,GaussianNB(),2,Leave-one-out,2,AUC,0.9330902898570149
5,5,khan,63,2308,RFE_wrapper,GaussianNB(),2,Leave-one-out,2,AUC,0.5895118758688553
6,6,khan,63,2308,relieff_wrapper,GaussianNB(),2,Leave-one-out,2,AUC,0.7662429549033398
7,7,khan,63,2308,relaxed_lasso_wrapper,GaussianNB(),2,Leave-one-out,2,AUC,0.7615216888225369
8,8,khan,63,2308,f_classif_wrapper,GaussianNB(),3,Leave-one-out,2,AUC,0.9474950120399037
9,9,khan,63,2308,RFE_wrapper,GaussianNB(),3,Leave-one-out,2,AUC,0.6303188363064525
10,10,khan,63,2308,relieff_wrapper,GaussianNB(),3,Leave-one-out,2,AUC,0.8253693502919509
11,11,khan,63,2308,relaxed_lasso_wrapper,GaussianNB(),3,Leave-one-out,2,AUC,0.6971413910269746
12,12,khan,63,2308,f_classif_wrapper,GaussianNB(),4,Leave-one-out,2,AUC,0.946311661506708
13,13,khan,63,2308,RFE_wrapper,GaussianNB(),4,Leave-one-out,2,AUC,0.6807227924107719
14,14,khan,63,2308,relieff_wrapper,GaussianNB(),4,Leave-one-out,2,AUC,0.838277011602089
15,15,khan,63,2308,relaxed_lasso_wrapper,GaussianNB(),4,Leave-one-out,2,AUC,0.7000731721577058
16,16,khan,63,2308,f_classif_wrapper,GaussianNB(),5,Leave-one-out,2,AUC,0.951983881271807
17,17,khan,63,2308,RFE_wrapper,GaussianNB(),5,Leave-one-out,2,AUC,0.7182012925827705
18,18,khan,63,2308,relieff_wrapper,GaussianNB(),5,Leave-one-out,2,AUC,0.8116103449354224
19,19,khan,63,2308,relaxed_lasso_wrapper,GaussianNB(),5,Leave-one-out,2,AUC,0.7514767434745897
20,20,khan,63,2308,f_classif_wrapper,GaussianNB(),10,Leave-one-out,2,AUC,0.9261416285812571
21,21,khan,63,2308,RFE_wrapper,GaussianNB(),10,Leave-one-out,2,AUC,0.7385013832729541
22,22,khan,63,2308,relieff_wrapper,GaussianNB(),10,Leave-one-out,2,AUC,0.8788964568283455
23,23,khan,63,2308,relaxed_lasso_wrapper,GaussianNB(),10,Leave-one-out,2,AUC,0.7758677889018447
24,24,khan,63,2308,f_classif_wrapper,GaussianNB(),20,Leave-one-out,2,AUC,0.9015875472996215
25,25,khan,63,2308,RFE_wrapper,GaussianNB(),20,Leave-one-out,2,AUC,0.7421607065404346
26,26,khan,63,2308,relieff_wrapper,GaussianNB(),20,Leave-one-out,2,AUC,0.8754915720674235
27,27,khan,63,2308,relaxed_lasso_wrapper,GaussianNB(),20,Leave-one-out,2,AUC,0.7352422053350847
28,28,khan,63,2308,f_classif_wrapper,GaussianNB(),50,Leave-one-out,2,AUC,0.8567162022703819
29,29,khan,63,2308,RFE_wrapper,GaussianNB(),50,Leave-one-out,2,AUC,0.7125548458062929
30,30,khan,63,2308,relieff_wrapper,GaussianNB(),50,Leave-one-out,2,AUC,0.8698720330237358
31,31,khan,63,2308,relaxed_lasso_wrapper,GaussianNB(),50,Leave-one-out,2,AUC,0.7438156174750602
32,32,khan,63,2308,f_classif_wrapper,GaussianNB(),100,Leave-one-out,2,AUC,0.8349308565531476
33,33,khan,63,2308,RFE_wrapper,GaussianNB(),100,Leave-one-out,2,AUC,0.656170293594173
34,34,khan,63,2308,relieff_wrapper,GaussianNB(),100,Leave-one-out,2,AUC,0.8122621259029927
35,35,khan,63,2308,relaxed_lasso_wrapper,GaussianNB(),100,Leave-one-out,2,AUC,0.7293068455452356
36,36,khan,63,2308,f_classif_wrapper,"SVC(C=0.1, kernel='linear', probability=True, random_state=0)",1,Leave-one-out,2,AUC,0.8155388739227749
37,37,khan,63,2308,RFE_wrapper,"SVC(C=0.1, kernel='linear', probability=True, random_state=0)",1,Leave-one-out,2,AUC,0.41003837968166945
38,38,khan,63,2308,relieff_wrapper,"SVC(C=0.1, kernel='linear', probability=True, random_state=0)",1,Leave-one-out,2,AUC,0.719495549693423
39,39,khan,63,2308,relaxed_lasso_wrapper,"SVC(C=0.1, kernel='linear', probability=True, random_state=0)",1,Leave-one-out,2,AUC,0.46907974578778194
40,40,khan,63,2308,f_classif_wrapper,"SVC(C=0.1, kernel='linear', probability=True, random_state=0)",2,Leave-one-out,2,AUC,0.9283367839889579
41,41,khan,63,2308,RFE_wrapper,"SVC(C=0.1, kernel='linear', probability=True, random_state=0)",2,Leave-one-out,2,AUC,0.41163507000470256
42,42,khan,63,2308,relieff_wrapper,"SVC(C=0.1, kernel='linear', probability=True, random_state=0)",2,Leave-one-out,2,AUC,0.8221454142991361
43,43,khan,63,2308,relaxed_lasso_wrapper,"SVC(C=0.1, kernel='linear', probability=True, random_state=0)",2,Leave-one-out,2,AUC,0.5786376050177369
44,44,khan,63,2308,f_classif_wrapper,"SVC(C=0.1, kernel='linear', probability=True, random_state=0)",3,Leave-one-out,2,AUC,0.9088960081362828
45,45,khan,63,2308,RFE_wrapper,"SVC(C=0.1, kernel='linear', probability=True, random_state=0)",3,Leave-one-out,2,AUC,0.47852540985883296
46,46,khan,63,2308,relieff_wrapper,"SVC(C=0.1, kernel='linear', probability=True, random_state=0)",3,Leave-one-out,2,AUC,0.8840362135284736
