,index,Dataset Name,Number of samples,Original Number of features,Filtering Algorithm,Learning algorithm,Number of features selected (K),CV Method,Fold,Measure Type,Measure Value
0,0,khan,63,2308,f_classif_wrapper,GaussianNB(),1,Leave-one-out,2,PR-AUC,0.5
1,1,khan,63,2308,RFE_wrapper,GaussianNB(),1,Leave-one-out,2,PR-AUC,0.26
2,2,khan,63,2308,relieff_wrapper,GaussianNB(),1,Leave-one-out,2,PR-AUC,0.44
3,3,khan,63,2308,relaxed_lasso_wrapper,GaussianNB(),1,Leave-one-out,2,PR-AUC,0.32
4,4,khan,63,2308,f_classif_wrapper,GaussianNB(),2,Leave-one-out,2,PR-AUC,0.66
5,5,khan,63,2308,RFE_wrapper,GaussianNB(),2,Leave-one-out,2,PR-AUC,0.32
6,6,khan,63,2308,relieff_wrapper,GaussianNB(),2,Leave-one-out,2,PR-AUC,0.46
7,7,khan,63,2308,relaxed_lasso_wrapper,GaussianNB(),2,Leave-one-out,2,PR-AUC,0.44000000000000006
8,8,khan,63,2308,f_classif_wrapper,GaussianNB(),3,Leave-one-out,2,PR-AUC,0.74
9,9,khan,63,2308,RFE_wrapper,GaussianNB(),3,Leave-one-out,2,PR-AUC,0.38
10,10,khan,63,2308,relieff_wrapper,GaussianNB(),3,Leave-one-out,2,PR-AUC,0.62
11,11,khan,63,2308,relaxed_lasso_wrapper,GaussianNB(),3,Leave-one-out,2,PR-AUC,0.42000000000000004
12,12,khan,63,2308,f_classif_wrapper,GaussianNB(),4,Leave-one-out,2,PR-AUC,0.8
13,13,khan,63,2308,RFE_wrapper,GaussianNB(),4,Leave-one-out,2,PR-AUC,0.38
14,14,khan,63,2308,relieff_wrapper,GaussianNB(),4,Leave-one-out,2,PR-AUC,0.64
15,15,khan,63,2308,relaxed_lasso_wrapper,GaussianNB(),4,Leave-one-out,2,PR-AUC,0.44
16,16,khan,63,2308,f_classif_wrapper,GaussianNB(),5,Leave-one-out,2,PR-AUC,0.76
17,17,khan,63,2308,RFE_wrapper,GaussianNB(),5,Leave-one-out,2,PR-AUC,0.44
18,18,khan,63,2308,relieff_wrapper,GaussianNB(),5,Leave-one-out,2,PR-AUC,0.6
19,19,khan,63,2308,relaxed_lasso_wrapper,GaussianNB(),5,Leave-one-out,2,PR-AUC,0.45999999999999996
20,20,khan,63,2308,f_classif_wrapper,GaussianNB(),10,Leave-one-out,2,PR-AUC,0.66
21,21,khan,63,2308,RFE_wrapper,GaussianNB(),10,Leave-one-out,2,PR-AUC,0.5
22,22,khan,63,2308,relieff_wrapper,GaussianNB(),10,Leave-one-out,2,PR-AUC,0.58
23,23,khan,63,2308,relaxed_lasso_wrapper,GaussianNB(),10,Leave-one-out,2,PR-AUC,0.46
24,24,khan,63,2308,f_classif_wrapper,GaussianNB(),20,Leave-one-out,2,PR-AUC,0.62
25,25,khan,63,2308,RFE_wrapper,GaussianNB(),20,Leave-one-out,2,PR-AUC,0.45999999999999996
26,26,khan,63,2308,relieff_wrapper,GaussianNB(),20,Leave-one-out,2,PR-AUC,0.54
27,27,khan,63,2308,relaxed_lasso_wrapper,GaussianNB(),20,Leave-one-out,2,PR-AUC,0.54
28,28,khan,63,2308,f_classif_wrapper,GaussianNB(),50,Leave-one-out,2,PR-AUC,0.6799999999999999
29,29,khan,63,2308,RFE_wrapper,GaussianNB(),50,Leave-one-out,2,PR-AUC,0.42000000000000004
30,30,khan,63,2308,relieff_wrapper,GaussianNB(),50,Leave-one-out,2,PR-AUC,0.62
31,31,khan,63,2308,relaxed_lasso_wrapper,GaussianNB(),50,Leave-one-out,2,PR-AUC,0.56
32,32,khan,63,2308,f_classif_wrapper,GaussianNB(),100,Leave-one-out,2,PR-AUC,0.66
33,33,khan,63,2308,RFE_wrapper,GaussianNB(),100,Leave-one-out,2,PR-AUC,0.38
34,34,khan,63,2308,relieff_wrapper,GaussianNB(),100,Leave-one-out,2,PR-AUC,0.56
35,35,khan,63,2308,relaxed_lasso_wrapper,GaussianNB(),100,Leave-one-out,2,PR-AUC,0.48000000000000004
36,36,khan,63,2308,f_classif_wrapper,"SVC(C=0.1, kernel='linear', probability=True, random_state=0)",1,Leave-one-out,2,PR-AUC,0.56
37,37,khan,63,2308,RFE_wrapper,"SVC(C=0.1, kernel='linear', probability=True, random_state=0)",1,Leave-one-out,2,PR-AUC,0.28
38,38,khan,63,2308,relieff_wrapper,"SVC(C=0.1, kernel='linear', probability=True, random_state=0)",1,Leave-one-out,2,PR-AUC,0.28
39,39,khan,63,2308,relaxed_lasso_wrapper,"SVC(C=0.1, kernel='linear', probability=True, random_state=0)",1,Leave-one-out,2,PR-AUC,0.28
40,40,khan,63,2308,f_classif_wrapper,"SVC(C=0.1, kernel='linear', probability=True, random_state=0)",2,Leave-one-out,2,PR-AUC,0.68
