,index,Dataset Name,Number of samples,Original Number of features,Filtering Algorithm,Learning algorithm,Number of features selected (K),CV Method,Fold,Measure Type,Measure Value
0,0,leukemia,72,7070,f_classif_wrapper,GaussianNB(),1,Leave-one-out,2,ACC,0.5794334975369457
1,1,leukemia,72,7070,RFE_wrapper,GaussianNB(),1,Leave-one-out,2,ACC,0.6139162561576355
2,2,leukemia,72,7070,relieff_wrapper,GaussianNB(),1,Leave-one-out,2,ACC,0.5794334975369457
3,3,leukemia,72,7070,relaxed_lasso_wrapper,GaussianNB(),1,Leave-one-out,2,ACC,
4,4,leukemia,72,7070,f_classif_wrapper,GaussianNB(),2,Leave-one-out,2,ACC,0.7536945812807883
5,5,leukemia,72,7070,RFE_wrapper,GaussianNB(),2,Leave-one-out,2,ACC,0.6139162561576355
6,6,leukemia,72,7070,relieff_wrapper,GaussianNB(),2,Leave-one-out,2,ACC,0.7536945812807883
7,7,leukemia,72,7070,relaxed_lasso_wrapper,GaussianNB(),2,Leave-one-out,2,ACC,
8,8,leukemia,72,7070,f_classif_wrapper,GaussianNB(),3,Leave-one-out,2,ACC,0.8226600985221675
9,9,leukemia,72,7070,RFE_wrapper,GaussianNB(),3,Leave-one-out,2,ACC,0.6120689655172413
10,10,leukemia,72,7070,relieff_wrapper,GaussianNB(),3,Leave-one-out,2,ACC,0.8583743842364532
11,11,leukemia,72,7070,relaxed_lasso_wrapper,GaussianNB(),3,Leave-one-out,2,ACC,
12,12,leukemia,72,7070,f_classif_wrapper,GaussianNB(),4,Leave-one-out,2,ACC,0.9119458128078818
13,13,leukemia,72,7070,RFE_wrapper,GaussianNB(),4,Leave-one-out,2,ACC,0.6299261083743842
14,14,leukemia,72,7070,relieff_wrapper,GaussianNB(),4,Leave-one-out,2,ACC,0.9470443349753694
15,15,leukemia,72,7070,relaxed_lasso_wrapper,GaussianNB(),4,Leave-one-out,2,ACC,
16,16,leukemia,72,7070,f_classif_wrapper,GaussianNB(),5,Leave-one-out,2,ACC,0.8762315270935961
17,17,leukemia,72,7070,RFE_wrapper,GaussianNB(),5,Leave-one-out,2,ACC,0.6305418719211823
18,18,leukemia,72,7070,relieff_wrapper,GaussianNB(),5,Leave-one-out,2,ACC,0.9119458128078818
19,19,leukemia,72,7070,relaxed_lasso_wrapper,GaussianNB(),5,Leave-one-out,2,ACC,
20,20,leukemia,72,7070,f_classif_wrapper,GaussianNB(),10,Leave-one-out,2,ACC,0.9298029556650247
21,21,leukemia,72,7070,RFE_wrapper,GaussianNB(),10,Leave-one-out,2,ACC,0.6834975369458128
22,22,leukemia,72,7070,relieff_wrapper,GaussianNB(),10,Leave-one-out,2,ACC,0.9119458128078818
23,23,leukemia,72,7070,relaxed_lasso_wrapper,GaussianNB(),10,Leave-one-out,2,ACC,
24,24,leukemia,72,7070,f_classif_wrapper,GaussianNB(),20,Leave-one-out,2,ACC,0.8947044334975369
25,25,leukemia,72,7070,RFE_wrapper,GaussianNB(),20,Leave-one-out,2,ACC,0.6477832512315271
26,26,leukemia,72,7070,relieff_wrapper,GaussianNB(),20,Leave-one-out,2,ACC,0.8768472906403941
27,27,leukemia,72,7070,relaxed_lasso_wrapper,GaussianNB(),20,Leave-one-out,2,ACC,
28,28,leukemia,72,7070,f_classif_wrapper,GaussianNB(),50,Leave-one-out,2,ACC,0.8768472906403941
29,29,leukemia,72,7070,RFE_wrapper,GaussianNB(),50,Leave-one-out,2,ACC,0.5769704433497538
30,30,leukemia,72,7070,relieff_wrapper,GaussianNB(),50,Leave-one-out,2,ACC,0.8768472906403941
31,31,leukemia,72,7070,relaxed_lasso_wrapper,GaussianNB(),50,Leave-one-out,2,ACC,
