,index,Dataset Name,Number of samples,Original Number of features,Filtering Algorithm,Learning algorithm,Number of features selected (K),CV Method,Fold,Measure Type,Measure Value
0,0,leukemia,72,7070,f_classif_wrapper,GaussianNB(),1,Leave-one-out,2,MCC,0.3262316699193071
1,1,leukemia,72,7070,RFE_wrapper,GaussianNB(),1,Leave-one-out,2,MCC,0.06269867707187052
2,2,leukemia,72,7070,relieff_wrapper,GaussianNB(),1,Leave-one-out,2,MCC,0.3262316699193071
3,3,leukemia,72,7070,relaxed_lasso_wrapper,GaussianNB(),1,Leave-one-out,2,MCC,
4,4,leukemia,72,7070,f_classif_wrapper,GaussianNB(),2,Leave-one-out,2,MCC,0.5070411535230845
5,5,leukemia,72,7070,RFE_wrapper,GaussianNB(),2,Leave-one-out,2,MCC,0.0066560255319239306
6,6,leukemia,72,7070,relieff_wrapper,GaussianNB(),2,Leave-one-out,2,MCC,0.5070411535230845
7,7,leukemia,72,7070,relaxed_lasso_wrapper,GaussianNB(),2,Leave-one-out,2,MCC,
8,8,leukemia,72,7070,f_classif_wrapper,GaussianNB(),3,Leave-one-out,2,MCC,0.6430802355961289
9,9,leukemia,72,7070,RFE_wrapper,GaussianNB(),3,Leave-one-out,2,MCC,0.14416263210869204
10,10,leukemia,72,7070,relieff_wrapper,GaussianNB(),3,Leave-one-out,2,MCC,0.6979884065097058
11,11,leukemia,72,7070,relaxed_lasso_wrapper,GaussianNB(),3,Leave-one-out,2,MCC,
12,12,leukemia,72,7070,f_classif_wrapper,GaussianNB(),4,Leave-one-out,2,MCC,0.8015970726578494
13,13,leukemia,72,7070,RFE_wrapper,GaussianNB(),4,Leave-one-out,2,MCC,0.20016240811195116
14,14,leukemia,72,7070,relieff_wrapper,GaussianNB(),4,Leave-one-out,2,MCC,0.8821448236380698
15,15,leukemia,72,7070,relaxed_lasso_wrapper,GaussianNB(),4,Leave-one-out,2,MCC,
16,16,leukemia,72,7070,f_classif_wrapper,GaussianNB(),5,Leave-one-out,2,MCC,0.7192486652045212
17,17,leukemia,72,7070,RFE_wrapper,GaussianNB(),5,Leave-one-out,2,MCC,0.16156577654608223
18,18,leukemia,72,7070,relieff_wrapper,GaussianNB(),5,Leave-one-out,2,MCC,0.8038875610506893
19,19,leukemia,72,7070,relaxed_lasso_wrapper,GaussianNB(),5,Leave-one-out,2,MCC,
20,20,leukemia,72,7070,f_classif_wrapper,GaussianNB(),10,Leave-one-out,2,MCC,0.8484934115644471
21,21,leukemia,72,7070,RFE_wrapper,GaussianNB(),10,Leave-one-out,2,MCC,0.3079053221671716
22,22,leukemia,72,7070,relieff_wrapper,GaussianNB(),10,Leave-one-out,2,MCC,0.8061611320873407
23,23,leukemia,72,7070,relaxed_lasso_wrapper,GaussianNB(),10,Leave-one-out,2,MCC,
24,24,leukemia,72,7070,f_classif_wrapper,GaussianNB(),20,Leave-one-out,2,MCC,0.7741644722955254
25,25,leukemia,72,7070,RFE_wrapper,GaussianNB(),20,Leave-one-out,2,MCC,0.3076204579632302
26,26,leukemia,72,7070,relieff_wrapper,GaussianNB(),20,Leave-one-out,2,MCC,0.7279825267835737
27,27,leukemia,72,7070,relaxed_lasso_wrapper,GaussianNB(),20,Leave-one-out,2,MCC,
28,28,leukemia,72,7070,f_classif_wrapper,GaussianNB(),50,Leave-one-out,2,MCC,0.7334955355996366
29,29,leukemia,72,7070,RFE_wrapper,GaussianNB(),50,Leave-one-out,2,MCC,0.09003690969969295
30,30,leukemia,72,7070,relieff_wrapper,GaussianNB(),50,Leave-one-out,2,MCC,0.7334955355996366
31,31,leukemia,72,7070,relaxed_lasso_wrapper,GaussianNB(),50,Leave-one-out,2,MCC,
