,index,Dataset Name,Number of samples,Original Number of features,Filtering Algorithm,Learning algorithm,Number of features selected (K),CV Method,Fold,Measure Type,Measure Value
0,0,leukemia,72,7070,f_classif_wrapper,GaussianNB(),1,Leave-one-out,2,AUC,0.7753189792663477
1,1,leukemia,72,7070,RFE_wrapper,GaussianNB(),1,Leave-one-out,2,AUC,0.6711855396065922
2,2,leukemia,72,7070,relieff_wrapper,GaussianNB(),1,Leave-one-out,2,AUC,0.7753189792663477
3,3,leukemia,72,7070,relaxed_lasso_wrapper,GaussianNB(),1,Leave-one-out,2,AUC,
4,4,leukemia,72,7070,f_classif_wrapper,GaussianNB(),2,Leave-one-out,2,AUC,0.8641679957469431
5,5,leukemia,72,7070,RFE_wrapper,GaussianNB(),2,Leave-one-out,2,AUC,0.5735645933014355
6,6,leukemia,72,7070,relieff_wrapper,GaussianNB(),2,Leave-one-out,2,AUC,0.8641679957469431
7,7,leukemia,72,7070,relaxed_lasso_wrapper,GaussianNB(),2,Leave-one-out,2,AUC,
8,8,leukemia,72,7070,f_classif_wrapper,GaussianNB(),3,Leave-one-out,2,AUC,0.9022461456671983
9,9,leukemia,72,7070,RFE_wrapper,GaussianNB(),3,Leave-one-out,2,AUC,0.5931685273790537
10,10,leukemia,72,7070,relieff_wrapper,GaussianNB(),3,Leave-one-out,2,AUC,0.9183280170122275
11,11,leukemia,72,7070,relaxed_lasso_wrapper,GaussianNB(),3,Leave-one-out,2,AUC,
12,12,leukemia,72,7070,f_classif_wrapper,GaussianNB(),4,Leave-one-out,2,AUC,0.9080940988835726
13,13,leukemia,72,7070,RFE_wrapper,GaussianNB(),4,Leave-one-out,2,AUC,0.6160951621477937
14,14,leukemia,72,7070,relieff_wrapper,GaussianNB(),4,Leave-one-out,2,AUC,0.9530170122275385
15,15,leukemia,72,7070,relaxed_lasso_wrapper,GaussianNB(),4,Leave-one-out,2,AUC,
16,16,leukemia,72,7070,f_classif_wrapper,GaussianNB(),5,Leave-one-out,2,AUC,0.9183280170122277
17,17,leukemia,72,7070,RFE_wrapper,GaussianNB(),5,Leave-one-out,2,AUC,0.6035353535353536
18,18,leukemia,72,7070,relieff_wrapper,GaussianNB(),5,Leave-one-out,2,AUC,0.9383971291866029
19,19,leukemia,72,7070,relaxed_lasso_wrapper,GaussianNB(),5,Leave-one-out,2,AUC,
20,20,leukemia,72,7070,f_classif_wrapper,GaussianNB(),10,Leave-one-out,2,AUC,0.9154040404040404
21,21,leukemia,72,7070,RFE_wrapper,GaussianNB(),10,Leave-one-out,2,AUC,0.6023391812865497
22,22,leukemia,72,7070,relieff_wrapper,GaussianNB(),10,Leave-one-out,2,AUC,0.9354731525784158
23,23,leukemia,72,7070,relaxed_lasso_wrapper,GaussianNB(),10,Leave-one-out,2,AUC,
24,24,leukemia,72,7070,f_classif_wrapper,GaussianNB(),20,Leave-one-out,2,AUC,0.9500930356193514
25,25,leukemia,72,7070,RFE_wrapper,GaussianNB(),20,Leave-one-out,2,AUC,0.6119085592769804
26,26,leukemia,72,7070,relieff_wrapper,GaussianNB(),20,Leave-one-out,2,AUC,0.9387958532695375
27,27,leukemia,72,7070,relaxed_lasso_wrapper,GaussianNB(),20,Leave-one-out,2,AUC,
28,28,leukemia,72,7070,f_classif_wrapper,GaussianNB(),50,Leave-one-out,2,AUC,0.9212519936204148
29,29,leukemia,72,7070,RFE_wrapper,GaussianNB(),50,Leave-one-out,2,AUC,0.6430090377458799
30,30,leukemia,72,7070,relieff_wrapper,GaussianNB(),50,Leave-one-out,2,AUC,0.9300239234449761
31,31,leukemia,72,7070,relaxed_lasso_wrapper,GaussianNB(),50,Leave-one-out,2,AUC,
32,32,leukemia,72,7070,f_classif_wrapper,GaussianNB(),100,Leave-one-out,2,AUC,0.9062333864965444
33,33,leukemia,72,7070,RFE_wrapper,GaussianNB(),100,Leave-one-out,2,AUC,0.7339181286549707
34,34,leukemia,72,7070,relieff_wrapper,GaussianNB(),100,Leave-one-out,2,AUC,0.8963981924508241
35,35,leukemia,72,7070,relaxed_lasso_wrapper,GaussianNB(),100,Leave-one-out,2,AUC,
36,36,leukemia,72,7070,f_classif_wrapper,"SVC(C=0.1, kernel='linear', probability=True, random_state=0)",1,Leave-one-out,2,AUC,0.7753189792663477
37,37,leukemia,72,7070,RFE_wrapper,"SVC(C=0.1, kernel='linear', probability=True, random_state=0)",1,Leave-one-out,2,AUC,0.3288144603934078
38,38,leukemia,72,7070,relieff_wrapper,"SVC(C=0.1, kernel='linear', probability=True, random_state=0)",1,Leave-one-out,2,AUC,0.7753189792663477
