,Estimator,Score Time (Mean),Number of features selected (K),Score Function,Fit Time (Mean),Dataset Name
0,GaussianNB,0.24501895904541016,1,f_classif_wrapper,0.02748870849609375,cll
1,GaussianNB,0.25158238410949707,1,RFE_wrapper,0.03396034240722656,cll
2,GaussianNB,0.29805850982666016,1,relieff_wrapper,0.028964757919311523,cll
3,GaussianNB,0.2510579824447632,1,relaxed_lasso_wrapper,0.025995612144470215,cll
4,GaussianNB,0.24857866764068604,2,f_classif_wrapper,0.029456257820129395,cll
5,GaussianNB,0.263533353805542,2,RFE_wrapper,0.02299034595489502,cll
6,GaussianNB,0.21680808067321777,2,relieff_wrapper,0.027149558067321777,cll
7,GaussianNB,0.22341704368591309,2,relaxed_lasso_wrapper,0.02293872833251953,cll
8,GaussianNB,0.2163858413696289,3,f_classif_wrapper,0.03108835220336914,cll
9,GaussianNB,0.25429975986480713,3,RFE_wrapper,0.03302812576293945,cll
10,GaussianNB,0.2733480930328369,3,relieff_wrapper,0.022960901260375977,cll
11,GaussianNB,0.2900499105453491,3,relaxed_lasso_wrapper,0.019294381141662598,cll
12,GaussianNB,0.22096526622772217,4,f_classif_wrapper,0.033721327781677246,cll
13,GaussianNB,0.22173523902893066,4,RFE_wrapper,0.019487977027893066,cll
14,GaussianNB,0.22652673721313477,4,relieff_wrapper,0.02473580837249756,cll
15,GaussianNB,0.26428449153900146,4,relaxed_lasso_wrapper,0.027753233909606934,cll
16,GaussianNB,0.3075164556503296,5,f_classif_wrapper,0.024006247520446777,cll
17,GaussianNB,0.30480098724365234,5,RFE_wrapper,0.022003769874572754,cll
18,GaussianNB,0.21351301670074463,5,relieff_wrapper,0.03499460220336914,cll
19,GaussianNB,0.22048711776733398,5,relaxed_lasso_wrapper,0.019521236419677734,cll
20,GaussianNB,0.2254948616027832,10,f_classif_wrapper,0.030014753341674805,cll
21,GaussianNB,0.2790106534957886,10,RFE_wrapper,0.024982929229736328,cll
22,GaussianNB,0.24003851413726807,10,relieff_wrapper,0.0204848051071167,cll
23,GaussianNB,0.25753653049468994,10,relaxed_lasso_wrapper,0.023477792739868164,cll
24,GaussianNB,0.22504937648773193,20,f_classif_wrapper,0.02048468589782715,cll
25,GaussianNB,0.2230525016784668,20,RFE_wrapper,0.021996736526489258,cll
26,GaussianNB,0.21855473518371582,20,relieff_wrapper,0.020984768867492676,cll
27,GaussianNB,0.22554802894592285,20,relaxed_lasso_wrapper,0.0189969539642334,cll
28,GaussianNB,0.28108298778533936,50,f_classif_wrapper,0.020510077476501465,cll
29,GaussianNB,0.25931060314178467,50,RFE_wrapper,0.02251255512237549,cll
30,GaussianNB,0.30207109451293945,50,relieff_wrapper,0.022997140884399414,cll
31,GaussianNB,0.29055333137512207,50,relaxed_lasso_wrapper,0.023015975952148438,cll
32,GaussianNB,0.2945520877838135,100,f_classif_wrapper,0.03600263595581055,cll
33,GaussianNB,0.28902530670166016,100,RFE_wrapper,0.04203140735626221,cll
34,GaussianNB,0.27445411682128906,100,relieff_wrapper,0.029312610626220703,cll
35,GaussianNB,0.23851239681243896,100,relaxed_lasso_wrapper,0.04945361614227295,cll
36,SVC,0.29175734519958496,1,f_classif_wrapper,0.04925429821014404,cll
37,SVC,0.2980639934539795,1,RFE_wrapper,0.03947794437408447,cll
38,SVC,0.3120572566986084,1,relieff_wrapper,0.026988625526428223,cll
39,SVC,0.25954198837280273,1,relaxed_lasso_wrapper,0.035992980003356934,cll
40,SVC,0.22950148582458496,2,f_classif_wrapper,0.04499328136444092,cll
41,SVC,0.2135014533996582,2,RFE_wrapper,0.024537205696105957,cll
42,SVC,0.3144418001174927,2,relieff_wrapper,0.01955556869506836,cll
43,SVC,0.28607428073883057,2,relaxed_lasso_wrapper,0.03995072841644287,cll
44,SVC,0.29708826541900635,3,f_classif_wrapper,0.017454147338867188,cll
45,SVC,0.2434314489364624,3,RFE_wrapper,0.060036420822143555,cll
46,SVC,0.24052846431732178,3,relieff_wrapper,0.04848289489746094,cll
47,SVC,0.2285698652267456,3,relaxed_lasso_wrapper,0.026429295539855957,cll
