,index,Dataset Name,Number of samples,Original Number of features,Filtering Algorithm,Learning algorithm,Number of features selected (K),CV Method,Fold,Measure Type,Measure Value
0,0,toy_example,80,44,f_classif_wrapper,GaussianNB(),1,Leave-one-out,2,AUC,0.7450980392156863
1,1,toy_example,80,44,RFE_wrapper,GaussianNB(),1,Leave-one-out,2,AUC,0.5892156862745098
2,2,toy_example,80,44,relieff_wrapper,GaussianNB(),1,Leave-one-out,2,AUC,0.7450980392156863
3,3,toy_example,80,44,relaxed_lasso_wrapper,GaussianNB(),1,Leave-one-out,2,AUC,
4,4,toy_example,80,44,mrmr_wrapper,GaussianNB(),1,Leave-one-out,2,AUC,0.7411764705882353
5,5,toy_example,80,44,f_classif_wrapper,GaussianNB(),2,Leave-one-out,2,AUC,0.7186274509803923
6,6,toy_example,80,44,RFE_wrapper,GaussianNB(),2,Leave-one-out,2,AUC,0.6215686274509804
7,7,toy_example,80,44,relieff_wrapper,GaussianNB(),2,Leave-one-out,2,AUC,0.7588235294117647
8,8,toy_example,80,44,relaxed_lasso_wrapper,GaussianNB(),2,Leave-one-out,2,AUC,
9,9,toy_example,80,44,mrmr_wrapper,GaussianNB(),2,Leave-one-out,2,AUC,0.7147058823529412
10,10,toy_example,80,44,f_classif_wrapper,GaussianNB(),3,Leave-one-out,2,AUC,0.7352941176470588
11,11,toy_example,80,44,RFE_wrapper,GaussianNB(),3,Leave-one-out,2,AUC,0.6196078431372549
12,12,toy_example,80,44,relieff_wrapper,GaussianNB(),3,Leave-one-out,2,AUC,0.7352941176470589
13,13,toy_example,80,44,relaxed_lasso_wrapper,GaussianNB(),3,Leave-one-out,2,AUC,
14,14,toy_example,80,44,mrmr_wrapper,GaussianNB(),3,Leave-one-out,2,AUC,0.7549019607843137
15,15,toy_example,80,44,f_classif_wrapper,GaussianNB(),4,Leave-one-out,2,AUC,0.780392156862745
16,16,toy_example,80,44,RFE_wrapper,GaussianNB(),4,Leave-one-out,2,AUC,0.6176470588235294
17,17,toy_example,80,44,relieff_wrapper,GaussianNB(),4,Leave-one-out,2,AUC,0.7784313725490197
18,18,toy_example,80,44,relaxed_lasso_wrapper,GaussianNB(),4,Leave-one-out,2,AUC,
19,19,toy_example,80,44,mrmr_wrapper,GaussianNB(),4,Leave-one-out,2,AUC,0.7372549019607844
20,20,toy_example,80,44,f_classif_wrapper,GaussianNB(),5,Leave-one-out,2,AUC,0.807843137254902
21,21,toy_example,80,44,RFE_wrapper,GaussianNB(),5,Leave-one-out,2,AUC,0.7568627450980392
22,22,toy_example,80,44,relieff_wrapper,GaussianNB(),5,Leave-one-out,2,AUC,0.8176470588235294
23,23,toy_example,80,44,relaxed_lasso_wrapper,GaussianNB(),5,Leave-one-out,2,AUC,
24,24,toy_example,80,44,mrmr_wrapper,GaussianNB(),5,Leave-one-out,2,AUC,0.7254901960784313
25,25,toy_example,80,44,f_classif_wrapper,GaussianNB(),10,Leave-one-out,2,AUC,0.8156862745098039
26,26,toy_example,80,44,RFE_wrapper,GaussianNB(),10,Leave-one-out,2,AUC,0.7509803921568627
27,27,toy_example,80,44,relieff_wrapper,GaussianNB(),10,Leave-one-out,2,AUC,0.7980392156862746
28,28,toy_example,80,44,relaxed_lasso_wrapper,GaussianNB(),10,Leave-one-out,2,AUC,
29,29,toy_example,80,44,mrmr_wrapper,GaussianNB(),10,Leave-one-out,2,AUC,0.8705882352941177
30,30,toy_example,80,44,f_classif_wrapper,GaussianNB(),15,Leave-one-out,2,AUC,0.7941176470588236
31,31,toy_example,80,44,RFE_wrapper,GaussianNB(),15,Leave-one-out,2,AUC,0.8352941176470587
32,32,toy_example,80,44,relieff_wrapper,GaussianNB(),15,Leave-one-out,2,AUC,0.8156862745098039
33,33,toy_example,80,44,relaxed_lasso_wrapper,GaussianNB(),15,Leave-one-out,2,AUC,
34,34,toy_example,80,44,mrmr_wrapper,GaussianNB(),15,Leave-one-out,2,AUC,0.8745098039215686
35,35,toy_example,80,44,f_classif_wrapper,GaussianNB(),20,Leave-one-out,2,AUC,0.8098039215686275
36,36,toy_example,80,44,RFE_wrapper,GaussianNB(),20,Leave-one-out,2,AUC,0.7843137254901961
37,37,toy_example,80,44,relieff_wrapper,GaussianNB(),20,Leave-one-out,2,AUC,0.803921568627451
38,38,toy_example,80,44,relaxed_lasso_wrapper,GaussianNB(),20,Leave-one-out,2,AUC,
39,39,toy_example,80,44,mrmr_wrapper,GaussianNB(),20,Leave-one-out,2,AUC,0.8450980392156862
40,40,toy_example,80,44,f_classif_wrapper,GaussianNB(),30,Leave-one-out,2,AUC,0.8235294117647058
41,41,toy_example,80,44,RFE_wrapper,GaussianNB(),30,Leave-one-out,2,AUC,0.8215686274509805
42,42,toy_example,80,44,relieff_wrapper,GaussianNB(),30,Leave-one-out,2,AUC,0.8607843137254902
43,43,toy_example,80,44,relaxed_lasso_wrapper,GaussianNB(),30,Leave-one-out,2,AUC,
44,44,toy_example,80,44,mrmr_wrapper,GaussianNB(),30,Leave-one-out,2,AUC,0.8215686274509804
45,45,toy_example,80,44,f_classif_wrapper,GaussianNB(),50,Leave-one-out,2,AUC,
46,46,toy_example,80,44,RFE_wrapper,GaussianNB(),50,Leave-one-out,2,AUC,
47,47,toy_example,80,44,relieff_wrapper,GaussianNB(),50,Leave-one-out,2,AUC,
48,48,toy_example,80,44,relaxed_lasso_wrapper,GaussianNB(),50,Leave-one-out,2,AUC,
49,49,toy_example,80,44,mrmr_wrapper,GaussianNB(),50,Leave-one-out,2,AUC,
50,50,toy_example,80,44,f_classif_wrapper,GaussianNB(),100,Leave-one-out,2,AUC,
51,51,toy_example,80,44,RFE_wrapper,GaussianNB(),100,Leave-one-out,2,AUC,
52,52,toy_example,80,44,relieff_wrapper,GaussianNB(),100,Leave-one-out,2,AUC,
53,53,toy_example,80,44,relaxed_lasso_wrapper,GaussianNB(),100,Leave-one-out,2,AUC,
54,54,toy_example,80,44,mrmr_wrapper,GaussianNB(),100,Leave-one-out,2,AUC,
55,55,toy_example,80,44,f_classif_wrapper,SVC(),1,Leave-one-out,2,AUC,
56,56,toy_example,80,44,RFE_wrapper,SVC(),1,Leave-one-out,2,AUC,
57,57,toy_example,80,44,relieff_wrapper,SVC(),1,Leave-one-out,2,AUC,
58,58,toy_example,80,44,relaxed_lasso_wrapper,SVC(),1,Leave-one-out,2,AUC,
59,59,toy_example,80,44,mrmr_wrapper,SVC(),1,Leave-one-out,2,AUC,
60,60,toy_example,80,44,f_classif_wrapper,SVC(),2,Leave-one-out,2,AUC,
61,61,toy_example,80,44,RFE_wrapper,SVC(),2,Leave-one-out,2,AUC,
62,62,toy_example,80,44,relieff_wrapper,SVC(),2,Leave-one-out,2,AUC,
63,63,toy_example,80,44,relaxed_lasso_wrapper,SVC(),2,Leave-one-out,2,AUC,
64,64,toy_example,80,44,mrmr_wrapper,SVC(),2,Leave-one-out,2,AUC,
65,65,toy_example,80,44,f_classif_wrapper,SVC(),3,Leave-one-out,2,AUC,
66,66,toy_example,80,44,RFE_wrapper,SVC(),3,Leave-one-out,2,AUC,
67,67,toy_example,80,44,relieff_wrapper,SVC(),3,Leave-one-out,2,AUC,
68,68,toy_example,80,44,relaxed_lasso_wrapper,SVC(),3,Leave-one-out,2,AUC,
