,Dataset Name,Number of samples,Original Number of features,Filtering Algorithm,Learning algorithm,Number of features selected (K),CV Method,Fold,Measure Type,Measure Value,List of Selected Features Names,Selected Features scores
0,toy_example,80,44,f_classif_wrapper,GaussianNB(),1,Leave-one-out,2,ACC,0.6875,,
1,toy_example,80,44,RFE_wrapper,GaussianNB(),1,Leave-one-out,2,ACC,0.5625,,
2,toy_example,80,44,relieff_wrapper,GaussianNB(),1,Leave-one-out,2,ACC,0.6875,,
3,toy_example,80,44,relaxed_lasso_wrapper,GaussianNB(),1,Leave-one-out,2,ACC,,,
4,toy_example,80,44,mrmr_wrapper,GaussianNB(),1,Leave-one-out,2,ACC,0.71875,,
5,toy_example,80,44,f_classif_wrapper,GaussianNB(),2,Leave-one-out,2,ACC,0.703125,,
6,toy_example,80,44,RFE_wrapper,GaussianNB(),2,Leave-one-out,2,ACC,0.65625,,
7,toy_example,80,44,relieff_wrapper,GaussianNB(),2,Leave-one-out,2,ACC,0.65625,,
8,toy_example,80,44,relaxed_lasso_wrapper,GaussianNB(),2,Leave-one-out,2,ACC,,,
9,toy_example,80,44,mrmr_wrapper,GaussianNB(),2,Leave-one-out,2,ACC,0.671875,,
10,toy_example,80,44,f_classif_wrapper,GaussianNB(),3,Leave-one-out,2,ACC,0.65625,,
11,toy_example,80,44,RFE_wrapper,GaussianNB(),3,Leave-one-out,2,ACC,0.625,,
12,toy_example,80,44,relieff_wrapper,GaussianNB(),3,Leave-one-out,2,ACC,0.734375,,
13,toy_example,80,44,relaxed_lasso_wrapper,GaussianNB(),3,Leave-one-out,2,ACC,,,
14,toy_example,80,44,mrmr_wrapper,GaussianNB(),3,Leave-one-out,2,ACC,0.734375,,
15,toy_example,80,44,f_classif_wrapper,GaussianNB(),4,Leave-one-out,2,ACC,0.734375,,
16,toy_example,80,44,RFE_wrapper,GaussianNB(),4,Leave-one-out,2,ACC,0.609375,,
17,toy_example,80,44,relieff_wrapper,GaussianNB(),4,Leave-one-out,2,ACC,0.75,,
18,toy_example,80,44,relaxed_lasso_wrapper,GaussianNB(),4,Leave-one-out,2,ACC,,,
19,toy_example,80,44,mrmr_wrapper,GaussianNB(),4,Leave-one-out,2,ACC,0.734375,,
20,toy_example,80,44,f_classif_wrapper,GaussianNB(),5,Leave-one-out,2,ACC,0.75,,
21,toy_example,80,44,RFE_wrapper,GaussianNB(),5,Leave-one-out,2,ACC,0.6875,,
22,toy_example,80,44,relieff_wrapper,GaussianNB(),5,Leave-one-out,2,ACC,0.75,,
23,toy_example,80,44,relaxed_lasso_wrapper,GaussianNB(),5,Leave-one-out,2,ACC,,,
24,toy_example,80,44,mrmr_wrapper,GaussianNB(),5,Leave-one-out,2,ACC,0.71875,,
25,toy_example,80,44,f_classif_wrapper,GaussianNB(),10,Leave-one-out,2,ACC,0.765625,,
26,toy_example,80,44,RFE_wrapper,GaussianNB(),10,Leave-one-out,2,ACC,0.71875,,
27,toy_example,80,44,relieff_wrapper,GaussianNB(),10,Leave-one-out,2,ACC,0.75,,
28,toy_example,80,44,relaxed_lasso_wrapper,GaussianNB(),10,Leave-one-out,2,ACC,,,
